,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,url_list
43,Keita Bates-Diop,SF,23,MIN,30,3,503,5.7,13.5,.423,1.2,5.0,.250,4.5,8.6,.522,1.7,2.7,.643,1.5,6.4,7.9,1.6,1.7,1.3,1.3,2.8,14.4,,100,113,https://www.basketball-reference.com/players/b/bateske01.html
44,Nicolas Batum,SF,30,CHO,75,72,2354,5.2,11.6,.450,2.4,6.2,.389,2.8,5.5,.519,1.6,1.8,.865,1.5,6.6,8.1,5.1,1.5,0.9,2.4,2.9,14.4,,112,113,https://www.basketball-reference.com/players/b/batumni01.html
45,Jerryd Bayless,PG,30,MIN,34,6,657,6.0,16.8,.357,2.1,7.1,.296,3.9,9.6,.402,1.2,2.0,.571,0.8,3.7,4.5,8.7,1.3,0.1,2.3,4.1,15.2,,98,117,https://www.basketball-reference.com/players/b/bayleje01.html
46,Aron Baynes,C,32,BOS,51,18,821,6.2,13.1,.471,1.2,3.6,.344,4.9,9.5,.519,3.1,3.6,.855,5.2,8.9,14.1,3.3,0.7,2.0,2.3,7.3,16.7,,118,108,https://www.basketball-reference.com/players/b/baynear01.html
47,Kent Bazemore,SG,29,ATL,67,35,1643,7.8,19.4,.402,2.7,8.4,.320,5.1,11.0,.465,3.6,4.9,.726,1.0,6.3,7.3,4.3,2.5,1.2,3.4,4.8,21.9,,98,112,https://www.basketball-reference.com/players/b/bazemke01.html
48,Bradley Beal,SG,25,WAS,82,82,3028,11.9,25.2,.475,3.3,9.3,.351,8.7,15.8,.548,5.7,7.0,.808,1.4,5.0,6.4,7.0,1.9,0.9,3.5,3.5,32.8,,113,114,https://www.basketball-reference.com/players/b/bealbr01.html
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 49
50,Malik Beasley,SG,22,DEN,81,18,1879,9.1,19.3,.474,4.3,10.6,.402,4.9,8.7,.560,1.5,1.7,.848,0.9,4.3,5.2,2.5,1.4,0.3,1.4,3.0,24.0,,117,112,https://www.basketball-reference.com/players/b/beaslma01.html
51,Michael Beasley,PF,30,LAL,26,2,277,12.6,25.7,.490,0.5,2.9,.176,12.1,22.8,.529,4.7,6.6,.718,2.2,7.9,10.1,4.2,1.5,1.7,4.5,7.1,30.4,,99,108,https://www.basketball-reference.com/players/b/beaslmi01.html
52,Marco Belinelli,SG,32,SAS,79,1,1815,7.7,18.6,.413,4.0,10.6,.372,3.7,7.9,.468,3.0,3.3,.903,0.4,4.9,5.3,3.6,0.9,0.2,1.9,3.3,22.3,,109,114,https://www.basketball-reference.com/players/b/belinma01.html
