Player,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m
Cody Zeller,75.26,31.3,44.64,13.91,10.14,0.444,0.539,0.896,74.04,3.62,22.33
Marvin Williams,88,80.06,16.41,1.38,2.15,0.387,0.589,0.778,35.71,55.56,8.73
Kelly Olynyk,81.99,71.45,23.94,2.48,2.13,0.37,0.681,0.929,37.61,43.07,19.31
Kadeem Allen,38.46,67.86,30,0,2.14,0.4,0.595,0,50.79,26.98,22.22
Avery Bradley,69.76,81.25,16.28,0.16,2.3,0.399,0.444,1,51.84,41.28,6.88
Derrick White,50.38,66.3,30.2,2.95,0.55,0.431,0.543,0.938,63.95,21.72,14.33
Patty Mills,60.28,83.41,16.59,0,0,0.383,0.636,0,30.33,58.82,10.85
Lonzo Ball,56.22,66.45,24.78,5.92,2.85,0.32,0.513,0.926,47.31,48.39,4.3
Luke Kennard,67.11,87.08,12.33,0.2,0.39,0.409,0.667,1,40,51.57,8.43
Kevin Huerter,63.97,76.01,19.81,3.72,0.46,0.389,0.438,1,38.39,55.91,5.7
Nemanja Bjelica,73.21,61.5,27.77,3.24,7.5,0.396,0.607,0.895,48.29,42.16,9.55
Allen Crabbe,95.62,90.62,9.38,0,0,0.349,0.543,0,18.89,71.19,9.93
Jonathan Isaac,76.34,64.65,22.91,7.04,5.4,0.332,0.536,0.907,48.89,35.83,15.28
Jeremy Lin,39.5,66.73,33.27,0,0,0.374,0.572,0,51.77,23.34,24.89
Robin Lopez,57.89,67.85,16.07,6.17,9.91,0.504,0.744,0.879,84.38,2.98,12.64
JaMychal Green,72.49,61.23,21.82,7.63,9.32,0.408,0.495,0.833,52.48,34.65,12.87
Tony Parker,19.72,61.56,38.44,0,0,0.414,0.534,0,75.47,7.36,17.17
Shabazz Napier,39.64,74.71,25.29,0,0,0.351,0.5,0,35.16,43.1,21.74
Markieff Morris,71.57,75,16.74,3.51,4.75,0.355,0.63,0.882,49.73,37.29,12.98
Danuel House Jr.,86.44,73.81,18.25,6.35,1.59,0.409,0.565,0.875,24.04,60.66,15.3
Al-Farouq Aminu,69.65,64.42,24.28,7.76,3.54,0.335,0.528,0.891,42.37,37.89,19.74
Alex Caruso,48.68,54.71,40,4.12,1.18,0.409,0.485,0.571,47.11,30.67,22.22
Larry Nance Jr.,69.08,50.31,23.38,16.49,9.81,0.34,0.625,0.899,68.9,15.79,15.31
Nicolas Batum,67.19,75.98,16.37,4.45,3.2,0.396,0.598,0.88,39.2,49.79,11.02
Rajon Rondo,25,57.65,40.94,0.94,0.47,0.363,0.443,1,58.51,35.97,5.52
