Player,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP
Nikola Mirotic,46,2.04,4.22,2.09,1.89,3.8,3.83,4.02,3.39,1.286
Brandon Ingram,52,3.23,10.04,2.12,1.42,5.56,4.25,4.79,3.38,1.303
Nikola Vucevic,80,0.59,12.28,2.54,3.28,6.53,4.86,5.95,3.38,1.23
Clint Capela,67,2.36,14.15,2.01,3.51,4.69,5.07,3.4,3.37,1.522
Robert Covington,35,3.03,3.26,2.8,1.94,2.43,3.09,4.26,3.34,1.285
Ben Simmons,79,3.33,13.32,2.41,2.18,5.22,3.97,4.34,3.32,1.393
Reggie Jackson,81,1.4,4.69,2.15,0.9,4.58,3.2,3.91,3.3,1.207
Tyler Johnson,57,1.14,3.96,1.39,1,2.19,2.95,2.46,3.26,1.177
Harrison Barnes,76,1.43,5.5,1.89,1.36,4.5,3.49,5.08,3.26,1.235
Kevin Love,22,0.86,4.09,2.18,2.18,5.14,4.27,4.36,3.23,1.322
Jaren Jackson Jr.,58,1.34,8.24,2,1.6,4.29,3.24,2.97,3.22,1.355
Taurean Prince,54,2.26,3.93,1.83,1.13,3.44,3.91,3.02,3.2,1.241
Carmelo Anthony,10,1.1,3.2,0.9,1.2,5.1,1.7,3.4,3.2,1.107
Derrick White,67,1.21,4.78,1.4,0.64,2.03,2.48,2.1,3.19,1.221
Gerald Green,73,0.93,1.7,1.37,1.19,2,1.58,2.48,3.19,1.168
Jayson Tatum,79,2.59,6.3,3,1.67,4.63,3.7,4.11,3.16,1.2
Alex Caruso,24,1.13,3.92,2.21,1.08,1.29,2.92,2.04,3.13,1.324
Doug McDermott,77,0.94,2.55,0.83,0.74,0.74,2.86,0.61,3.12,1.333
Evan Fournier,81,1.7,5.85,2.12,1.15,4.27,3.57,4.07,3.11,1.147
Johnathan Motley,21,0.48,3.71,0.86,0.95,0.24,1.14,0.38,3.1,1.397
Luke Kennard,62,1.9,2.23,1.58,0.52,1.76,3.61,1.26,3.1,1.184
Bobby Portis,49,1.24,6.69,2.2,2.24,3.69,3.27,4.18,3.1,1.129
Seth Curry,74,0.89,1.41,1.27,0.91,0.92,3.16,0.64,3.08,1.249
Ish Smith,55,0.89,4.15,1.2,0.31,1.51,2.44,1.95,3.07,1.031
Shabazz Napier,56,1.14,2.46,0.96,0.75,1.63,2.39,2.36,3.07,1.216
Eric Gordon,68,1.88,4.71,2.16,1.43,4.51,4.41,4.09,3.06,1.176
Joe Harris,76,1.3,4.66,2.01,1.39,3.79,2.78,3.84,3.05,1.392
Jeremy Lin,74,1.65,4.03,1.66,0.51,2.26,2.05,2.19,3.05,1.309
Trey Burke,57,1.05,4.11,1.58,0.6,2.21,3.21,2.37,3.04,1.147
Danuel House Jr.,39,1.56,2.21,1.56,1.38,2.21,1.97,2.18,3.03,1.452
Tim Hardaway Jr.,65,2.46,4.43,2.8,1.52,5.17,4.48,5.29,3.02,1.182
Marcus Morris,75,1.29,4.11,2.17,1.55,3.69,3.07,4.15,3.01,1.239
Rudy Gobert,81,0.53,11.73,2.3,4.19,4.05,3.99,4.69,3.01,1.803
Isaiah Thomas,12,2.25,2.67,2.5,1.67,0.83,2.58,1.67,3,0.98
J.P. Macura,2,1,3,0,0,0,0,0,3,0.667
Kenneth Faried,37,0.73,7.68,1.97,2.51,1.97,3.03,2.38,3,1.449
Mitchell Creek,5,1.2,3.2,1.2,0.4,0.4,0,0.8,3,1.313
Tyreke Evans,69,2.35,4.32,2.03,0.62,1.88,3.12,2.28,2.96,1.07
Christian Wood,20,1.1,4.2,1,1,0.95,1.65,1.9,2.95,1.38
Kyle Kuzma,69,3.43,9.42,2.45,1.61,4.96,4.7,6.13,2.91,1.206
J.J. Barea,38,1.03,4.47,1.34,0.45,2.97,3.21,1.84,2.89,1.078
Tony Parker,56,0.73,4.79,1.07,0.68,1.36,3.88,1.29,2.89,1.145
Serge Ibaka,74,1.15,8.3,1.78,2.59,4.74,3.32,4,2.86,1.268
Gordon Hayward,72,1.96,4.42,2.06,0.96,2.54,3.14,2.82,2.86,1.299
Monte Morris,81,1.41,4.67,1.63,0.91,2.28,2.6,2.68,2.86,1.216
Goran Dragic,36,1.83,5.78,2.31,0.75,3.36,4.31,3.19,2.86,1.141
Jordan McRae,26,0.88,2.15,0.92,0.5,0.5,2.04,0.54,2.85,1.283
Kevin Knox,75,1.88,4.59,1.87,1.13,4.16,2.76,3.07,2.84,1.054
Bryn Forbes,82,1.78,2.46,1.57,0.9,3.15,2.93,2.8,2.83,1.223
Frank Kaminsky,47,0.47,3.62,1.17,0.89,1.34,2.62,1.83,2.83,1.359
Theo Pinson,18,0.67,1.33,0.89,0.39,0.11,0.83,0.72,2.83,1.11
Norman Powell,60,1.37,3.9,1.4,0.6,1.25,2.6,1.92,2.83,1.29
Mikal Bridges,82,1.77,3.1,2.4,0.82,1.49,2.13,1.9,2.82,1.215
Quinn Cook,74,1.27,1.84,0.85,0.49,0.86,1.99,1.23,2.8,1.159
Dwight Powell,76,0.72,6.42,1.17,1.5,2.04,3.13,2.43,2.79,1.658
Shaquille Harrison,73,1.29,4.33,1.47,0.45,0.88,1.4,1.4,2.79,1.113
Aaron Gordon,78,1.91,7.46,2.19,2.1,4.9,3.33,4.95,2.79,1.191
Jeff Green,76,1.32,4.45,1.79,1.21,2.45,3.93,3.17,2.79,1.377
Mario Hezonja,58,1.31,4.1,1.55,0.69,1.9,2.28,1.86,2.78,1.101
E'Twaun Moore,53,2.13,5.81,1.6,1.51,3,3.15,3.02,2.77,1.19
Grayson Allen,38,0.71,1.42,0.92,0.42,0.79,1.16,0.74,2.76,1.185
Joe Ingles,82,1.05,3.8,1.79,1.2,3.78,3.05,2.52,2.73,1.239
Aaron Holiday,50,0.88,1.72,0.96,0.28,0.68,1.7,0.78,2.72,1.122
Marco Belinelli,79,1.49,1.9,1.05,0.73,2.57,3.18,1.99,2.72,1.201
Derrick Favors,76,0.42,8.55,1.46,2.68,3.83,2.32,2.93,2.72,1.449
Frank Mason,38,1.11,2.37,0.71,0.42,0.76,0.97,0.68,2.71,1.154
Otto Porter Jr.,56,1.89,4.25,1.77,1.32,3.7,3.59,3.79,2.7,1.213
Isaiah Hicks,3,0,1.33,0.67,0,0,1.33,0,2.67,1.5
Zhaire Smith,6,0.33,2.33,1.33,0.67,2,1,1,2.67,1.176
Marc Gasol,79,0.71,5.04,1.89,1.2,3.78,3.43,3.52,2.65,1.231
Langston Galloway,79,0.87,1.47,1.19,0.92,1.13,3.05,1.61,2.65,1.15
Fred VanVleet,64,2.11,3.06,1.55,0.95,2.97,2.45,2.83,2.64,1.168
Jamal Crawford,64,0.86,1.41,1.03,0.39,0.66,2.94,1.64,2.64,1.16
Damyean Dotson,73,1.37,2.27,1.51,1.08,2.68,2.36,2.93,2.63,1.116
Kentavious Caldwell-Pope,81,2.64,2.74,2.09,0.94,2.63,3.48,2.49,2.62,1.23
Troy Williams,21,1.86,2.76,1.57,0.71,0.33,1.05,1.29,2.62,1.133
Delon Wright,75,1.71,4.93,1.56,0.95,1.75,2.79,1.53,2.61,1.17
Wayne Ellington,52,1.21,1.54,1.63,1.15,2.87,1.79,3,2.6,1.19
Willie Cauley-Stein,80,1.6,9.35,1.91,1.3,3.4,3.08,2.79,2.6,1.295
Shake Milton,20,0.55,1.5,1,0.4,0.35,0.7,0.7,2.6,1
Pascal Siakam,80,3.78,10.48,3.13,1.54,4.66,3.8,5.7,2.59,1.433
Darius Miller,68,0.88,0.65,1.07,0.5,1.57,2.38,1.56,2.59,1.18
Bam Adebayo,82,0.89,6.37,1.55,1.98,2.2,2.13,1.93,2.59,1.5
Markieff Morris,58,0.38,3.55,1.22,1.55,1.98,2.81,1.88,2.57,1.13
Dennis Smith Jr.,53,2.42,6.53,2.47,1.25,4,2.96,4.06,2.57,1.111
Jerami Grant,80,1.7,6.9,2.39,1.79,4.11,2.69,4.09,2.56,1.324
Ante Zizic,59,0.39,5.73,1.03,2.41,1.92,1.61,1.69,2.56,1.387
Dillon Brooks,18,0.72,3,1.89,0.39,2.33,1.33,1.28,2.56,1.107
Troy Daniels,51,0.53,0.82,0.82,0.57,0.65,1.35,1.65,2.55,1.156
Larry Nance Jr.,67,0.84,5.88,1.54,1.91,2.25,1.99,2.58,2.54,1.309
Trey Lyles,63,0.98,4.25,1.37,1.21,1.76,2.9,1.46,2.54,1.103
Al Horford,68,0.68,6.5,1.56,1.6,3.81,3.01,4.13,2.54,1.279
Kyle Lowry,65,2.48,3.48,2,1.15,3.32,3.83,4.38,2.51,1.253
Troy Caupain,4,0,0.5,0,0.75,0,0,0,2.5,1.25
Ricky Rubio,68,1.29,4.26,1.88,0.68,3.04,3.65,3.51,2.5,1.184
Chris Boucher,28,0.39,1.57,0.25,1.11,0.25,0.57,0,2.5,1.224
Wesley Matthews,69,1.04,2.72,1.41,1.38,3.38,3.2,3.1,2.49,1.202
Stanley Johnson,65,1.05,2.95,1.08,0.86,1.11,2.4,0.86,2.49,1.025
Pat Connaughton,61,0.89,2.98,0.67,1.03,0.92,1.98,1.51,2.49,1.203
Jae Crowder,80,1.73,2.95,1.75,1.04,3.41,2.65,3.35,2.48,1.193
Jusuf Nurkic,72,0.61,10.33,1.89,3.61,4.74,4.01,4.28,2.47,1.362
Kent Bazemore,66,2.32,4.27,2.61,1.24,2.79,3.64,2.86,2.47,1.134
Terry Rozier,79,2.04,2.94,1.41,0.77,1.66,2.96,1.85,2.46,1.065
Brandon Sampson,14,0.79,2.43,0.93,0.36,0.14,1.36,1.14,2.43,1.183
Josh Jackson,79,1.81,5.67,1.8,0.87,2.72,3.13,3.06,2.43,1.082
Jeff Teague,42,1.9,5.67,1.95,0.62,3.5,2.69,3.43,2.43,1.226
Johnathan Williams,23,1,5.39,0.78,1.91,1.13,1.35,1.52,2.43,1.407
Jordan Loyd,12,0.17,0.5,0.17,0.17,0,0,0,2.42,1.611
Kelly Olynyk,79,0.67,3.37,1.44,1.1,2.22,3.18,2.15,2.42,1.395
Dion Waiters,44,0.91,3.23,1.18,0.91,2.89,2.89,3.73,2.41,1.103
Dario Saric,80,1.05,3.93,1.4,1.66,2.84,2.5,2.76,2.4,1.224
Dewayne Dedmon,63,0.81,4.95,1.29,1.67,3.16,2.83,2.3,2.4,1.303
Lance Stephenson,67,0.93,2.24,0.94,0.9,1.43,1.91,1.4,2.4,1.139
Jalen Brunson,72,1.31,4.53,1.03,0.76,1.99,2.47,2.31,2.38,1.19
D.J. Augustin,81,1.31,3.8,1.65,0.84,2.73,2.96,3.6,2.38,1.4
Austin Rivers,76,0.87,3.26,1.82,0.5,1.97,2.14,1.53,2.38,1.08
Justin Jackson,80,1.4,2.65,1.09,1.03,1.7,1.68,1.51,2.38,1.21
Cedi Osman,76,1.78,5,1.62,1.17,3.8,2.76,4.11,2.37,1.174
Davis Bertans,76,1.11,1,0.92,0.49,1.68,2.09,1.79,2.37,1.338
Ben McLemore,19,1,0.42,0.63,0.16,0,1.26,0.32,2.37,1.172
Zach Collins,77,0.42,3.61,0.81,1.44,1.16,2,1.14,2.35,1.28
Alec Burks,64,0.63,3.41,1.05,1.16,1.95,2.25,2.22,2.34,1.184
Elfrid Payton,41,1.54,6.73,1.63,1.22,2.68,2.12,3.1,2.34,1.085
DeMarre Carroll,67,2,3.22,1.73,1.39,2.54,3.28,2.78,2.33,1.294
Dwayne Bacon,43,1.21,3.58,1,0.51,1.47,1.16,2.28,2.33,1.23
Frank Jackson,60,1.72,4.07,1.25,0.5,1.3,2.53,1.63,2.33,1.087
Demetrius Jackson,6,1.5,1.33,0.83,0.33,0,0.5,0.83,2.33,1.467
Scott Machado,3,0.67,1.33,0.67,0,0,0,0,2.33,1.75
Luol Deng,22,1.18,3.45,1.41,1.05,0.86,1.91,2.05,2.32,1.331
Thaddeus Young,81,1.25,9.41,2.51,2.6,3.26,3.79,3.28,2.31,1.218
Rodney Hood,72,1,3.39,1.49,0.61,2.94,3.08,2.74,2.31,1.2
Gary Harris,56,1.98,5.89,2.09,1.36,3.77,3.66,3.38,2.3,1.161
