Player,Age_x,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%_x,OREB,DREB_x,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB_y,DREB%,T_DREB%_x,STL,T_STL%_x,BLK,T_BLK%_x,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_DREB%_y,T_REB%,T_AST%,T_TOV%,T_STL%_y,T_BLK%_y,T_BLKA%,T_PF%,T_PFD%,T_PTS%,Age_y,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,FT%_y,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary
Jonas Valanciunas,27,5,13,24.6,5.7,10.3,55.4,0.6,1.7,33.3,1.6,1.8,84.8,2.6,7.2,9.8,1.9,2.2,2.6,29.5,11,0,-3.8,7.2,27.1,37.7,0.3,8.3,0.9,38.1,10.7,6,7.4,24.8,0.058,21.6,27.2,22.1,10,11.1,21.2,19.8,43.1,37.7,39,14.6,23.5,8.3,38.1,17.9,24.9,19.4,24.6,27,83.9,16.1,76.2,4.1,12.3,7,11.5,12.3,72.1,54.8,45.2,100,0,59.2,40.8,1.7,3.5,0.9,9.8,10.7,6,7.4,24.8,0.7,1.8,412,-1.3,1,-0.3,-1.5,0.8,-0.6,-1.4,1.1,-0.3,0.5,"$16,000,000 "
Jordan Bone,22,1,2,2.1,0.7,1.7,40,0,0.3,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0,0,-0.3,0,0,0,0,0,0,0,0,0,0,0.7,0.016,41.2,66.7,55.6,0,33.3,0,0,0,0,0,0,100,0,0,0,66.7,0,33.3,22,80,20,100,50,0,0,0,50,50,50,50,0,0,50,50,0.7,0,0,0.7,0,0,0,0.7,0,0,6,-30.5,-11.2,-41.7,-20.2,6.2,-14,-30.2,-8.5,-38.7,-0.1,
Jordan McLaughlin,23,2,2,14.3,1,3.8,26.7,0.3,2,12.5,0.5,0.5,100,0.3,1.5,1.8,2,1,1,7.6,0,0,-6.3,1.5,10.2,17.1,0.3,10,0,0,5.5,4.8,5.5,18,0.037,12.6,9.5,12.8,7.7,15.4,10,6.9,6.7,17.1,14,28.6,23.5,10,0,50,14.3,17.2,9.4,23,46.7,53.3,54.5,0,27.3,0,18.2,54.5,54.5,66.7,33.3,100,0,75,25,1.5,0.8,0,1.5,5.5,4.8,5.5,18,0.8,1.3,57,-8.1,-4.9,-12.9,-11.5,-4.5,-16,-9.1,-5.1,-14.2,-0.3,
Josh Gray,26,1,1,11.4,0.5,1,50,0,0,0,0,0,0,0.5,0.5,1,1,2.5,0.5,1.2,0,0,-3.5,0.5,4,6.7,0,0,0,0,7,4,5.5,11,0.082,13.7,7.1,6.1,0,0,0,0,50,6.7,11.8,20,31.3,0,0,0,11.1,25,5.6,26,100,0,100,0,0,0,0,0,100,0,100,0,0,0,100,0,0,0,1,7,4,5.5,11,0,0.5,23,-8.3,0.6,-7.6,-18.5,9.3,-9.2,-10.6,2.3,-8.3,-0.1,
Josh Magette,30,0,2,3.8,1,2.5,40,0,0,0,0,0,0,0.5,0.5,1,1,0,0,7.7,0,0,0,0.5,16.7,33.3,1,66.7,0,0,1,2.5,1,4,-0.001,23.8,22.2,27.8,0,0,0,0,25,33.3,28.6,33.3,0,66.7,0,0,0,0,20,30,100,0,100,0,0,50,0,50,100,0,100,0,0,0,100,1,1,1,2,1,2.5,1,4,0,0,8,5.1,8.9,14,3,-18.8,-15.7,5.1,4.3,9.4,0,
Juancho Hernangomez,24,8,2,13,1.2,2.7,44.4,0.7,1.8,38.9,0.3,0.7,42.9,0.4,2.1,2.5,0.7,0.7,0.7,7.7,0,0,0.9,2.1,15.1,21.2,0,0,0.3,17.6,4.7,3.2,2.9,12.6,0.067,11.4,10.6,10.8,20.6,22,10.7,14.3,13.8,21.2,19.5,9.1,16.7,0,17.6,0,12.3,24.5,11.8,24,33.3,66.7,29.4,0,61.8,26.5,8.8,8.8,29.4,80,20,100,0,91.7,8.3,0.3,1.2,0.9,1,4.7,3.2,2.9,12.6,0,1.2,122,-2.5,0.9,-1.6,2,3.2,5.2,-1.7,1.2,-0.5,0.1,"$3,321,030 "
Juwan Morgan,22,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.2,0,0,-1,1,14.3,33.3,0,0,0,0,3,3,0,4,0.045,0,0,0,0,0,0,0,0,33.3,33.3,0,0,0,0,0,50,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,3,-1.9,-6.3,-8.2,-13.8,16.7,2.9,-4.1,-2.5,-6.6,0,
Kelan Martin,24,4,4,14.5,1.9,5.5,34.1,0.6,3,20.8,0,0,0,0.3,2.9,3.1,0.3,0.4,2.3,8.9,0,0,-3,2.9,15.9,24.5,0.1,6.7,0.1,6.3,5.6,4.5,2.8,13.8,0.055,16,18.5,20.7,17.9,25,0,0,6.9,24.5,20.3,4.5,7.5,6.7,6.3,0,30,1.9,15.1,24,45.5,54.5,57.1,17.1,42.9,14.3,0,14.3,40,50,50,100,0,66.7,33.3,0.6,0.9,0.6,1.8,5.6,4.5,2.8,13.8,0,0.1,116,-4.5,-2.5,-7,-9.3,4.6,-4.7,-5.6,-1.4,-7,-0.2,
Kelly Oubre Jr.,23,8,10,31,6.1,13.2,46,1.6,4.4,35.4,3.8,4.7,81.2,1.3,4.6,5.9,1.7,1.7,3.2,31.2,2,0,0.6,4.6,14.6,21.2,1.3,28.2,0.6,21.7,10.4,8.5,8.3,32.2,0.066,22.4,22.9,23.1,19.3,20.3,28.6,28.7,25.3,21.2,22,9.7,17.9,28.2,21.7,35.3,22,23.6,23.6,23,66.7,33.3,51.4,6.3,26.7,15.9,21.9,23.5,45.1,55.6,44.4,96.4,3.6,66.1,33.9,4.1,2.2,2.8,7.9,10.4,8.5,8.3,32.2,1.3,4.1,518,1.2,1.6,2.9,-1.7,-2,-3.8,0.7,1,1.8,1.2,"$15,625,000 "
Kevin Knox II,20,4,14,19.8,2.5,6.5,38.5,1.3,3.5,38.1,1.5,2.3,64.3,0.5,2.4,2.9,1.4,0.7,1.7,15.1,0,0,-4,2.4,11.6,16.7,0.6,17.9,0.2,12.1,7.4,4.4,4.4,18.2,0.046,17.4,16.8,18.2,27.6,25.3,20.8,22.1,11.4,16.7,15.5,17,11.6,17.9,12.1,11.1,16.3,19.5,18.7,20,46.2,53.8,29.8,9.9,51.1,14.2,19.1,22.7,19.9,42.9,57.1,95.8,4.2,71.1,28.9,1.8,1.1,1.1,1.6,7.4,4.4,4.4,18.2,0.2,1.7,357,-1.3,-3.9,-5.2,-5.5,-1.2,-6.7,-2.1,-3.6,-5.7,-0.5,"$4,380,120 "
Kevin Porter Jr.,19,5,13,20.4,2.4,6.2,38.7,0.4,2.1,21.1,1.1,1.4,76,0.3,2.7,3,1.9,1.3,2.6,14.4,0,0,-6.8,2.7,12.6,19.5,0.8,20.6,0.2,16,7,7.2,5.6,18.8,0.029,16.6,16.3,17.2,9.9,14.3,14.5,14.5,8.6,19.5,17.1,22.5,20.3,20.6,16,17.2,32.2,12.6,15.3,19,65.8,34.2,61.9,12.4,21.2,21.2,16.8,15.9,49.6,34.3,65.7,62.5,37.5,39.5,60.5,1,0.6,1.3,3.1,7,7.2,5.6,18.8,0.6,1.1,355,-2.1,-4.1,-6.2,-8.6,-3.9,-12.5,-3.4,-4.2,-7.6,-0.9,"$1,290,960 "
Kostas Antetokounmpo,22,2,0,1.4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.6,0,0,1,0.5,50,50,0,0,0,0,0,0,0,2,0.023,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,-2.7,-14.1,-16.8,9.9,11,20.8,-0.5,-10.4,-10.8,0,
Kristaps Porzingis,24,11,6,31.4,6.2,15.5,39.8,2.2,6.2,34.9,2.8,3.9,70.1,1.6,7.8,9.4,1.5,1.7,2.8,37.5,7,0,3.2,7.8,22.3,32,0.6,13.2,2.2,62.7,10.2,9.4,10.9,28.4,0.085,24.8,23.8,26.7,25.2,24.1,20.3,22,23.5,32,30.1,10,19.2,13.2,62.7,23.7,22,20.5,23.3,24,59.8,40.2,46.3,13.6,37.8,7.5,16,8.2,32.7,69.1,30.9,97.3,2.7,79,21,1.4,2.7,1.3,5.6,10.2,9.4,10.9,28.4,0.5,3,499,-2,0.5,-1.4,-4.4,2.8,-1.6,-2.7,1,-1.7,0.3,"$27,285,000 "
Ky Bowman,22,4,16,22.7,3.5,7.6,45.7,1.1,2.6,41.2,0.8,0.9,94.1,0.5,2.1,2.5,2.8,1,1.9,18,0,0,-0.9,2.1,8.9,13.1,1,25,0.1,5.1,7.6,5.6,5.6,22,0.052,16.4,19.2,18.3,22.6,20.1,7.9,7.1,11,13.1,12.6,25.8,16.1,25,5.1,13.7,21.3,12.8,17.2,22,66.2,33.8,54.9,21.7,36,9.7,9.1,14.3,33.1,35.4,64.6,81,19,49.3,50.7,1.3,0.6,0.9,2.9,7.6,5.6,5.6,22,0.4,1.3,421,-1.4,-1.8,-3.3,1.3,3.5,4.8,-1,-0.8,-1.8,0.2,
Larry Nance Jr.,26,5,12,25.9,4.2,7.8,54.1,1.3,3.3,39.3,1.3,1.8,71,2.1,5.6,7.6,1.3,0.9,1.6,25.8,3,0,-6.6,5.6,21.6,31.5,1.1,24.4,0.4,23.3,8.5,8.3,6.5,26.7,0.023,15.4,21.2,16.4,21.2,17.4,13.5,14.6,36.5,31.5,32.7,11.7,12,24.4,23.3,4.6,15.6,16.8,19.9,26,57.9,42.1,53.2,3.2,35.1,5.3,11.7,14.4,50,62,38,95.5,4.5,72.2,27.8,1.6,2.3,0.6,5.5,8.5,8.3,6.5,26.7,0.2,1.9,414,0.9,-1.6,-0.7,-3,-5,-8.1,0.2,-2.3,-2,0.2,"$12,727,273 "
Lonnie Walker IV,20,5,8,5,0.8,2.1,37,0.1,0.3,25,0.1,0.5,14.3,0.2,0.7,0.8,0.3,0.2,0.4,3.2,0,0,-0.6,0.7,13.4,18.4,0,0,0.1,10,1.6,0.5,0.8,3.7,0.018,20,18.9,22.3,20,17.4,3.7,17.1,9.5,18.4,15.7,14.3,17.6,0,10,28.6,20,14.7,15.9,20,85.2,14.8,81.8,9.1,13.6,18.2,4.5,9.1,72.7,77.8,22.2,100,0,80,20,0.2,0,0.3,1.2,1.6,0.5,0.8,3.7,0.2,0.4,64,-2.7,-4.7,-7.4,-5.2,3.9,-1.3,-3.3,-3.3,-6.6,-0.1,"$2,760,480 "
Luka Doncic,20,12,6,34.2,9.8,20.2,48.6,3.1,9.4,32.5,8.1,9.8,82.4,1.5,8.4,9.9,9.6,4.5,2.7,57.5,13,7,5.6,8.4,22.9,33.3,1.4,31.7,0.2,5.4,11.5,10.3,10.1,33.7,0.064,35,33.8,32.6,28.8,31.5,49.7,47.2,19.4,33.3,30,56.5,46.6,31.7,5.4,18.2,19.3,45.8,36.2,20,53.6,46.4,44,2.9,29.8,7.9,26.2,9.6,41.2,20.5,79.5,25.5,74.5,22,78,2.9,2.7,2.4,12.7,11.5,10.3,10.1,33.7,0.4,7.6,578,10.2,1.4,11.6,7.2,-5.1,2.2,10,0.3,10.3,3.9,"$7,683,360 "
Marcus Morris Sr.,30,4,15,33,6,14.2,42.4,2.8,5.4,52.4,3.8,4.6,83.9,1.2,4.9,6.2,1.3,1.9,3.3,30.8,1,0,-4.4,4.9,15.2,22.7,0.9,16.1,0.6,20,11.4,8.2,10.6,29.2,0.056,22.3,22.8,23.3,37.8,28.5,34.9,28.1,13.1,22.7,19.8,9,18.8,16.1,20,16.1,18.6,23.8,26.3,30,61.7,38.3,33.8,17.5,45.6,8.5,20.6,15.8,16.3,38.3,61.7,77.8,22.2,57,43,2.9,1.9,1.6,3.1,11.4,8.2,10.6,29.2,0.5,3.3,594,0.9,0.1,1,3.2,-0.9,2.3,1.4,0,1.4,1.2,"$15,000,000 "
Marvin Bagley III,20,0,1,27.7,6,16,37.5,0,0,0,2,4,50,4,6,10,0,1,1,31,1,0,-21,6,18.8,24,1,50,1,33.3,17,10,22,48,-0.029,25.7,27.3,31.4,0,0,28.6,33.3,50,24,30.3,0,5.9,50,33.3,50,7.7,30,24.1,20,100,0,85.7,28.6,0,0,14.3,14.3,57.1,66.7,33.3,0,0,66.7,33.3,2,7,0,8,17,10,22,48,3,3,28,-7,0.7,-6.3,-12,-6.1,-18.1,-8.2,-0.5,-8.8,-0.1,"$8,556,120 "
Melvin Frazier Jr.,23,0,2,3.8,0.5,2.5,20,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0,0,2.4,0,0,0,0,0,0,0,0,0,0,1,2.5,1,4,-0.001,23.8,11.1,27.8,0,50,0,0,25,0,14.3,16.7,0,0,0,100,0,0,10,23,80,20,100,100,0,0,0,100,0,100,0,0,0,100,0,1,1,0,0,1,2.5,1,4,0.5,0,8,-4,-24.1,-28.1,3,-18.8,-15.7,-2.8,-24.4,-27.2,-0.1,"$1,416,852 "
Michael Porter Jr.,21,8,2,9,1.5,3.4,44.1,0.2,1,20,0.5,0.8,62.5,0.8,1.5,2.3,0.4,0.6,1.3,7.4,0,0,-2.8,1.5,14.7,22.7,0,0,0.3,25,2.5,2.9,4,8.4,0.032,19.7,21.7,20.4,14.3,20.4,17.2,17.4,44.4,22.7,27.4,8.9,20.7,0,25,30.8,31,12.2,20.4,21,70.6,29.4,70.3,21.6,16.2,13.5,13.5,10.8,48.6,61.5,38.5,50,50,60,40,0.4,0.9,0.5,1.8,2.5,2.9,4,8.4,0.4,0.5,90,-3.6,-0.1,-3.7,-10.3,-5.2,-15.5,-5,-1.2,-6.2,-0.2,"$3,389,400 "
Moses Brown,20,3,1,3.8,0.8,1.8,42.9,0,0,0,0.5,1,50,0.5,1.8,2.3,0,0.3,1,5.2,0,0,-3.5,1.8,38.9,53.8,0.3,33.3,0,0,0.5,1.3,1.3,4,-0.025,22.7,23.1,23.3,0,0,33.3,44.4,50,53.8,52.9,0,25,33.3,0,0,44.4,50,23.5,20,100,0,75,0,0,0,25,0,75,66.7,33.3,0,0,66.7,33.3,0,1.5,0,1.5,0.5,1.3,1.3,4,0,0.5,15,-1.9,-7.5,-9.4,-5.1,-19.2,-24.3,-2.7,-10.2,-12.8,-0.1,
Naz Mitrou-Long,26,2,1,14.2,2,5.3,37.5,0.7,3.7,18.2,0,0,0,0,2,2,2.3,0.7,0.3,11.9,0,0,6,2,11.5,14.3,0.3,25,0.3,16.7,4.7,2,2.7,10.7,0.165,17.3,17.6,19,22.2,37.9,0,0,0,14.3,11.5,38.9,22.2,25,16.7,0,6.3,13.6,15.6,26,31.3,68.8,57.1,0,42.9,28.6,0,21.4,57.1,25,75,100,0,50,50,1,0,1.3,2.7,4.7,2,2.7,10.7,0,1,43,-1.1,6.4,5.4,-1.9,14.3,12.4,-1.3,8.2,6.9,0.2,
Nicolo Melli,28,6,11,16.1,2,4.6,43.6,1.1,3.2,35.2,0.9,1.2,80,0.7,2.1,2.8,1.2,0.7,1.8,13.1,0,0,-3.5,2.1,13.4,20.6,0.6,26.8,0.2,12,6.2,5.5,6.1,18.5,0.012,14.9,16,15.7,20.7,22.3,16.7,16.4,25.5,20.6,21.6,16.2,13.3,26.8,12,0,28.4,20.3,16.8,28,30.8,69.2,29.1,7.8,55.3,1,15.5,21.4,21.4,53.3,46.7,100,0,79.4,20.6,1.3,1,0.1,1.3,6.2,5.5,6.1,18.5,0,1.4,263,-0.2,-2.7,-2.9,-4,-4.8,-8.8,-0.9,-3.1,-4.1,-0.2,"$3,902,439 "
Nikola Jokic,24,13,4,31,6.4,13.9,45.8,0.9,4.1,23.2,1.9,2.5,76.7,2.2,8.2,10.4,6,2.6,3.3,39.3,7,3,6.4,8.2,25.8,35.5,1.1,21.1,0.5,19.6,8.9,6.6,8.1,28.8,0.15,24.4,24.1,24.1,14.2,20.6,19.8,20.7,31.6,35.5,34.6,36.8,30.6,21.1,19.6,13.2,26.5,29.1,22.5,24,70.8,29.2,69.4,14.3,18.1,5.3,12.5,12.8,55.1,51.1,48.9,93.8,6.3,57.4,42.6,2,2.6,0.8,8.6,8.9,6.6,8.1,28.8,0.4,3.9,490,1.6,-0.2,1.4,2.6,-1,1.6,1.8,-0.5,1.3,1,"$26,573,595 "
Nikola Vucevic,29,6,8,30.8,6.8,15.1,45,1.1,3.6,32,2.4,2.8,84.6,2.9,8.6,11.6,3.5,1.4,1.9,39.9,10,0,4.2,8.6,27.5,36.7,0.6,12.3,1.1,26.8,8.8,6.9,6.3,28,0.121,25,26.3,26.7,17.2,18.7,21.7,21,44.1,36.7,38.3,21.7,19.6,12.3,26.8,28.9,17.8,21.8,24.7,29,76.3,23.7,66.1,7.5,20.1,2.9,13.8,10.9,58.6,72.2,27.8,100,0,76.8,23.2,1.9,1.4,0.5,10,8.8,6.9,6.3,28,0.8,2.7,431,-0.5,2.1,1.6,5.6,-0.4,5.2,0.7,1.7,2.4,1.1,"$28,000,000 "
Oshae Brissett,21,3,0,4.2,0.3,1,33.3,0.3,0.3,100,0,0,0,0,0.3,0.3,0.3,0,0,2.9,0,0,-0.3,0.3,9.1,11.1,0.3,50,0,0,2.7,0.7,1,4,-0.011,10,7.7,14.3,14.3,10,0,0,0,11.1,11.1,10,0,50,0,0,0,0,8.8,21,66.7,33.3,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,2.7,0.7,1,4,0,0,13,-0.9,-0.6,-1.5,11.1,-13.1,-2.1,1.2,-3.1,-1.9,0,
Otto Porter Jr.,26,3,6,25.1,3.9,9.3,41.7,1.8,4.4,40,1.7,2.2,75,0.9,2.6,3.4,1.6,0.8,2.2,20.9,0,0,0.8,2.6,10.3,16.5,1,22.5,0.3,16.7,7.9,7.9,6,28.4,0.061,18.4,18.7,20.4,26.7,24.4,16.7,16.4,19,16.5,17.1,12.4,11.5,22.5,16.7,10.3,22.2,16,19.3,26,52.4,47.6,37.6,4,47.5,15.8,14.9,18.8,33.7,21.1,78.9,87.5,12.5,51.4,48.6,2.1,1.4,1.8,3.8,7.9,7.9,6,28.4,0.3,1.9,226,0.7,-0.3,0.4,2,-2.3,-0.3,1,-0.7,0.4,0.4,"$27,250,576 "
P.J. Washington,21,8,13,28.1,4.5,9,49.7,1.4,3,45.3,1.5,2.2,67.4,0.9,4.2,5.1,1.6,1.2,2.7,25,1,0,-4.9,4.2,15.8,22.9,1.2,29.4,0.8,34,10.9,6.9,7.6,31.9,0.024,16.8,19.8,17.9,17.4,15.2,17.4,19.4,15.4,22.9,21.1,10.5,12.1,29.4,34,17.3,24.3,20.8,19.2,21,66.1,33.9,52.4,0.8,35.1,15.7,12.5,16.1,51.6,86.2,13.8,96.6,3.4,89.4,10.6,1.9,0.9,1.9,6.1,10.9,6.9,7.6,31.9,0.4,2.4,522,-1.5,-2.5,-4,-1,-0.4,-1.4,-1.5,-2.1,-3.6,-0.2,"$3,831,840 "
Robert Williams III,22,11,5,14.4,1.9,2.6,73.8,0,0,0,0.4,0.7,54.5,1.1,3.4,4.5,1.3,0.9,1.8,17.1,0,0,-0.3,3.4,22.1,36,1,29.1,1.1,56.3,5.2,5.1,3.5,12.6,0.025,11.2,15.6,10,0,0,6.6,9.7,36,36,36,19.4,22.2,29.1,56.3,0,24.6,12.1,12.5,22,100,0,91.2,5.9,0,5.9,8.8,14.7,85.3,74.2,25.8,0,0,74.2,25.8,0.6,1.1,0.3,3.6,5.2,5.1,3.5,12.6,0,0.8,213,-1.3,1.8,0.6,4.5,-8,-3.5,-0.3,0,-0.3,0.3,"$1,937,520 "
Shamorie Ponds,21,1,0,5.9,2,3,66.7,0,1,0,0,0,0,0,1,1,2,0,2,8.2,0,0,2,1,50,50,0,0,0,0,2,0,3,4,-0.043,21.4,28.6,27.3,0,16.7,0,0,0,50,50,40,0,0,0,0,66.7,0,21.1,21,66.7,33.3,100,0,0,50,0,50,100,50,50,0,0,50,50,2,0,2,4,2,0,3,4,0,0,6,8.7,-47.5,-38.8,25.7,-19.3,6.4,12.2,-45.1,-32.9,-0.1,
Skal Labissiere,23,8,12,16.7,2.8,4.9,56.7,0.1,0.4,28.6,0.8,1.1,68.2,2.1,3,5.1,1.2,1.2,2.8,16.9,1,0,-1,3,15.2,22.6,0.3,12.5,1.1,55.3,5.6,5.3,4.5,17.3,0.055,16,19.9,15.4,2.2,2.9,13.2,14.8,56,22.6,30,16.2,23,12.5,55.3,12.1,31.8,13.4,16.7,23,92.8,7.2,83.5,20.5,4.7,7.1,11.8,7.1,63,73.6,26.4,100,0,74.5,25.5,0.5,1.6,0.5,4,5.6,5.3,4.5,17.3,0.2,1,317,-0.7,0.9,0.3,-1.3,0.4,-0.8,-0.8,0.9,0.1,0.5,"$2,338,847 "
Spencer Hawes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,007,058 "
Svi Mykhailiuk,22,4,10,15.7,1.5,3.8,39.6,1.4,2.9,46.3,0.1,0.1,100,0.3,0.9,1.1,1.2,0.9,1.2,7.9,0,0,1.2,0.9,5.6,8.5,0.3,14.8,0.1,3.3,5.2,4.8,4.5,16.6,0.038,12.7,11.6,13.8,28.8,26.6,2.4,1.7,8.9,8.5,8.6,14,16.9,14.8,3.3,3.7,16.7,6.4,12.4,22,22.6,77.4,6.3,0,90.5,22.2,3.2,4.8,6.3,50,50,100,0,95.2,4.8,0.2,1.1,1,0.3,5.2,4.8,4.5,16.6,0.1,0.4,205,-1.9,-3,-4.9,2.6,0.9,3.5,-1.2,-2.4,-3.6,-0.1,"$1,416,852 "
Tacko Fall,23,1,0,3.6,2,4,50,0,0,0,0,0,0,0,3,3,0,1,2,6.6,0,0,-2,3,60,60,0,0,0,0,3,0,0,0,0.036,62.5,66.7,80,0,0,0,0,0,60,60,0,50,0,0,0,100,0,66.7,23,100,0,100,0,0,0,0,0,100,100,0,0,0,100,0,0,0,0,4,3,0,0,0,0,0,4,-31,-0.4,-31.4,-12.2,3.3,-8.9,-29.2,0,-29.2,-0.1,
Taurean Prince,25,10,9,30.2,4.7,11.6,40.7,2.8,6.9,40.2,0.9,1.3,72,0.8,5.1,5.9,1.7,2.2,2.8,24,4,0,1.8,5.1,15.6,23.4,0.8,17.2,0.3,8.6,9.5,7.7,6.4,30.8,0.074,19.2,18.1,20.2,30.1,28,8.6,8.8,12,23.4,20.6,11.5,23.3,17.2,8.6,19.3,21.5,10.9,18.2,25,40.3,59.7,29.5,4,63.3,10.8,7.2,14.3,25.5,62.2,37.8,84.9,15.1,75.6,24.4,1.9,1.1,1.4,3.4,9.5,7.7,6.4,30.8,0.6,1.5,540,-1.8,0.5,-1.3,3.4,-1.5,1.9,-0.9,0.1,-0.8,0.6,"$3,481,986 "
Tim Hardaway Jr.,27,12,6,24,4.3,10.3,41.9,2.4,6.2,38.7,1.9,2.4,79.1,0.3,1.8,2.1,1.8,0.5,2.2,19.5,0,0,6.4,1.8,6.3,9.3,0.5,14.5,0.1,5.1,6.1,6.9,6.6,22.9,0.083,20.2,20.7,22.7,31.9,29.8,16.3,16.3,5.4,9.3,8.5,14.9,9.2,14.5,5.1,26.7,19.9,14.7,21.3,27,40.3,59.7,30,11.2,55.4,10.3,14.6,10.3,18.9,51.4,48.6,93,7,74.4,25.6,1.3,1.8,1.3,2.4,6.1,6.9,6.6,22.9,0.4,1.8,396,2.2,0.5,2.7,2.9,3.4,6.3,2.3,1.1,3.4,1.2,"$18,150,000 "
Timothe Luwawu-Cabarrot,24,0,2,3,0,1,0,0,0.5,0,0.5,1,50,0,0,0,0,0,0,0.5,0,0,-1,0,0,0,0,0,0,0,0,1.5,1,4,0.021,21.4,0,22.2,0,16.7,50,33.3,0,0,0,0,0,0,0,100,0,33.3,11.1,24,50,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,4,0.5,0.5,6,-17.3,-9.3,-26.6,-20.9,1.5,-19.3,-18.8,-7.8,-26.6,-0.1,
TJ Leaf,22,9,6,10.5,1.7,3.9,44.8,0.3,0.7,45.5,0.3,0.5,62.5,1.3,2.5,3.8,0.4,0.4,0.9,10.9,1,0,0.7,2.5,20,29.1,0.5,35,0.2,15,3.9,2.3,2.8,9.9,0.073,17.1,19.4,18.8,17.2,12.1,13.5,16.3,46.5,29.1,33.5,7.3,10.5,35,15,25,23.3,14,18.6,22,81,19,67.7,0,24.2,12.9,8.1,12.9,67.7,66.7,33.3,100,0,73.1,26.9,0.5,0.7,0.5,2.8,3.9,2.3,2.8,9.9,0.3,0.5,158,0.2,0.4,0.6,-7.2,5,-2.2,-1.1,1.2,0,0.2,
Tomas Satoransky,28,6,14,26.2,3.5,7.6,46.4,1.4,3.1,44.3,1,1.2,87,0.9,2.5,3.4,5.3,2.1,2.2,23.9,0,0,-0.8,2.5,9.3,13.9,1.5,29.9,0.2,7,10.6,7.7,8,30.1,0.062,15.9,15.9,15.6,19,16.3,10,8.6,14.9,13.9,14.1,39.5,23.3,29.9,7,11.3,17.7,15.9,15.3,28,59.6,40.4,46,3.2,43.3,15,10.7,15.5,42.8,18.6,81.4,96.3,3.7,48.6,51.4,1.5,0.8,1.4,4,10.6,7.7,8,30.1,0.4,1.9,495,0.7,2.3,3,6,-0.7,5.3,1.8,1.9,3.6,1.6,"$10,000,000 "
Tremont Waters,21,1,0,19.7,2,7,28.6,1,5,20,2,2,100,0,2,2,3,2,2,20.9,0,0,20,2,8.7,14.3,1,25,2,66.7,5,9,3,6,0.12,21.3,10.5,18.9,16.7,31.3,16.7,16.7,0,14.3,9.5,30,40,25,66.7,0,25,11.1,12.5,21,28.6,71.4,28.6,0,42.9,0,28.6,0,28.6,0,100,0,100,0,100,0,0,0,2,5,9,3,6,0,1,20,3,6.6,9.6,19.9,3.4,23.3,6.3,6.3,12.5,0.2,
Troy Brown Jr.,20,5,9,21,2.9,6.6,43,0.5,1.8,28,0.7,0.9,83.3,1.4,3.4,4.8,2,1.2,1.1,18.5,1,0,-2.6,3.4,15.7,25,1.2,33.3,0.1,11.1,6.6,6.9,7.1,24.7,0.014,15.6,14.5,16.3,10.4,13.5,11,10.6,29.9,25,26.3,16.8,17.3,33.3,11.1,25.6,12.6,11.2,13.7,20,73.1,26.9,68,16.5,21.6,14.4,10.3,22.7,51.5,48.5,51.5,100,0,57.5,42.5,1.6,0.6,1,3.6,6.6,6.9,7.1,24.7,0.8,0.9,275,-0.6,1.4,0.8,-0.8,0.5,-0.3,-0.7,1.4,0.7,0.5,"$3,219,480 "
Vlatko Cancar,22,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,-14.8,-24.9,-1,16.6,15.6,-8.7,-9.8,-18.6,0,"$1,517,981 "
