,Player,Team,Position(s),Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
153,Kris Dunn,Bulls,"PG, SG",440,-1.9,+2.7,+0.8,-6.7,+1.6,-5.2,-3.0,+2.6,-0.3,0.5
154,Mike Muscala,Thunder,"PF, C",150,-2.5,+6.3,+3.8,-5.8,+10.6,+4.8,-3.3,+7.7,+4.3,0.5
155,Dejounte Murray,Spurs,PG,420,-1.2,+1.0,-0.3,-0.5,-0.6,-1.1,-1.2,+0.8,-0.3,0.5
156,Marvin Williams,Hornets,PF,443,+1.1,-2.4,-1.3,+2.9,-0.3,+2.5,+1.5,-2.0,-0.5,0.5
157,Jae Crowder,Grizzlies,SF,618,+0.0,-0.5,-0.5,-2.0,-2.2,-4.1,-0.4,-0.8,-1.2,0.5
158,Frank Ntilikina,Knicks,PG,495,-1.7,-0.2,-1.9,+3.7,-0.3,+3.4,-0.6,-0.2,-0.8,0.5
159,Bismack Biyombo,Hornets,C,334,-1.0,-0.5,-1.5,+2.1,+3.4,+5.5,-0.4,+0.4,+0.0,0.5
160,Shaquille Harrison,Bulls,"PG, SG",117,+1.3,+3.0,+4.2,-4.2,+11.4,+7.2,+0.3,+4.9,+5.2,0.5
161,D'Angelo Russell,Warriors,"PG, SG",315,+5.1,-3.5,+1.6,-1.6,-5.9,-7.5,+4.2,-4.2,+0.0,0.5
162,Shabazz Napier,Timberwolves,"PG, SG",142,-1.1,+4.4,+3.3,-5.8,+8.7,+2.8,-2.1,+5.5,+3.4,0.5
163,Stephen Curry,Warriors,PG,112,+4.6,+1.8,+6.4,+1.8,-5.5,-3.7,+4.5,+0.4,+4.9,0.5
164,Khem Birch,Magic,C,231,-3.1,+5.5,+2.4,-4.0,-0.9,-5.0,-3.4,+4.5,+1.0,0.4
165,Omari Spellman,Warriors,PF,396,-1.5,+0.9,-0.6,-2.6,+1.7,-0.9,-1.8,+1.2,-0.6,0.4
166,Cheick Diallo,Suns,PF,124,+2.9,+1.9,+4.8,+9.4,-9.1,+0.4,+4.4,-0.3,+4.2,0.4
167,Skal Labissiere,Trail Blazers,PF,357,-0.4,+0.4,-0.1,-1.7,+0.2,-1.5,-0.7,+0.4,-0.4,0.4
168,DeAndre Jordan,Nets,C,366,+0.3,+1.1,+1.4,-5.0,-2.9,-7.8,-0.8,+0.4,-0.5,0.4
169,Terrence Ross,Magic,"SG, SF",433,-0.4,+0.5,+0.1,-10.1,+5.5,-4.6,-2.4,+1.5,-0.8,0.4
170,Quinn Cook,Lakers,PG,242,-0.0,-0.1,-0.2,+1.8,+2.6,+4.3,+0.3,+0.3,+0.6,0.4
171,Chris Silva,Heat,PF,186,-1.1,+2.0,+0.9,+4.3,+0.6,+4.9,-0.1,+1.6,+1.5,0.4
172,Collin Sexton,Cavaliers,"PG, SG",614,+1.1,-2.6,-1.6,+5.1,-6.3,-1.2,+2.0,-3.5,-1.5,0.4
173,Malik Monk,Hornets,SG,467,-1.1,-1.7,-2.8,-0.1,+6.1,+5.9,-0.9,-0.1,-1.1,0.4
174,J.J. Barea,Mavericks,PG,55,+9.5,+3.0,+12.5,+5.6,+0.2,+5.8,+9.1,+2.6,+11.7,0.4
175,Kent Bazemore,Trail Blazers,"SG, SF",468,-2.4,+2.6,+0.2,-7.7,+1.2,-6.6,-3.7,+2.5,-1.2,0.4
176,Otto Porter Jr.,Bulls,SF,226,+0.8,-0.3,+0.5,+1.7,-1.6,+0.0,+1.1,-0.6,+0.5,0.4
177,Isaiah Hartenstein,Rockets,C,94,+0.7,+2.5,+3.2,+6.4,+4.9,+11.3,+1.8,+3.1,+4.9,0.4
178,Serge Ibaka,Raptors,"PF, C",226,-1.9,+3.9,+2.0,-3.8,-1.5,-5.3,-2.5,+2.9,+0.4,0.4
179,Zach Collins,Trail Blazers,"PF, C",86,-0.1,+4.5,+4.4,+5.2,+3.1,+8.2,+1.0,+4.5,+5.5,0.4
180,Yogi Ferrell,Kings,"PG, SG",195,-1.5,+2.0,+0.6,-6.2,+7.7,+1.5,-2.5,+3.4,+0.9,0.4
181,David Nwaba,Nets,SG,137,-0.4,+0.8,+0.5,+0.1,+9.0,+9.1,-0.4,+2.6,+2.3,0.4
182,Jevon Carter,Suns,PG,206,-0.7,+0.2,-0.5,-2.2,+7.3,+5.1,-1.1,+1.7,+0.6,0.3
183,Avery Bradley,Lakers,SG,274,-1.0,-0.2,-1.2,-1.1,+5.0,+3.9,-1.1,+0.8,-0.3,0.3
184,Dillon Brooks,Grizzlies,"SG, SF",554,-1.2,-2.2,-3.3,+3.7,+1.9,+5.7,-0.2,-1.4,-1.6,0.3
185,Joe Harris,Nets,"SG, SF",637,+0.4,-1.3,-0.9,-0.9,-4.0,-4.9,+0.2,-1.9,-1.8,0.3
186,Tyler Herro,Heat,SG,544,-0.1,-1.4,-1.6,-0.1,-1.1,-1.2,-0.1,-1.5,-1.6,0.3
187,Chandler Hutchison,Bulls,"SF, PF",154,-0.9,+2.5,+1.7,-7.0,+5.8,-1.2,-2.2,+3.4,+1.2,0.3
188,Blake Griffin,Pistons,PF,256,+1.3,-1.5,-0.2,+2.9,-3.4,-0.6,+1.7,-2.0,-0.3,0.3
189,De'Anthony Melton,Grizzlies,"PG, SG",104,+1.3,+2.5,+3.8,-2.2,+0.7,-1.5,+0.7,+2.4,+3.1,0.3
190,Tim Frazier,Pistons,PG,136,-2.0,+4.6,+2.6,-4.4,+2.1,-2.3,-2.7,+4.4,+1.7,0.3
191,Cameron Johnson,Suns,"SF, PF",317,+0.2,-0.9,-0.7,-5.1,+3.8,-1.4,-0.9,+0.1,-0.8,0.3
192,Alec Burks,Warriors,SG,553,+1.6,-3.2,-1.6,-4.5,+2.4,-2.1,+0.6,-2.2,-1.7,0.3
193,Deandre Ayton,Suns,C,33,-0.2,+13.7,+13.4,-0.1,+19.2,+19.1,-0.3,+15.7,+15.4,0.3
194,Ky Bowman,Warriors,PG,519,-1.7,-1.4,-3.0,+0.3,+3.8,+4.0,-1.3,-0.3,-1.6,0.3
195,Coby White,Bulls,"PG, SG",528,-1.7,-0.1,-1.9,-4.5,+3.9,-0.6,-2.4,+0.7,-1.6,0.3
196,Troy Brown Jr.,Wizards,"SG, SF",337,-1.0,+0.7,-0.2,-5.3,+0.7,-4.6,-2.0,+0.9,-1.1,0.3
197,Derrick Jones Jr.,Heat,"SF, PF",74,-0.3,+5.1,+4.8,+1.5,+2.6,+4.1,+0.0,+4.8,+4.8,0.3
198,Norman Powell,Raptors,SG,569,+0.2,-0.6,-0.4,-4.5,-1.9,-6.4,-0.8,-0.9,-1.8,0.3
199,TJ Leaf,Pacers,PF,158,+0.2,+0.9,+1.1,-6.6,+5.8,-0.8,-1.2,+1.9,+0.7,0.3
200,Kristaps Porzingis,Mavericks,PF,579,-2.6,+1.1,-1.5,-4.3,+2.3,-2.0,-3.3,+1.4,-1.8,0.3
201,Justin Jackson,Mavericks,SF,253,+2.3,-3.6,-1.3,+4.3,-1.6,+2.8,+2.8,-3.4,-0.6,0.3
202,Denzel Valentine,Bulls,"SG, SF",54,+2.7,+2.4,+5.1,-1.8,+13.6,+11.8,+2.0,+5.0,+7.0,0.3
203,Shai Gilgeous-Alexander,Thunder,"PG, SG",652,-1.0,-0.5,-1.5,+1.3,-4.5,-3.2,-0.6,-1.4,-2.0,0.3
204,LaMarcus Aldridge,Spurs,"PF, C",656,-1.0,+0.5,-0.5,-3.0,-4.6,-7.7,-1.5,-0.4,-2.0,0.3
205,Chris Clemons,Rockets,SG,127,+1.8,+0.5,+2.3,-1.7,-2.2,-3.9,+1.1,-0.0,+1.1,0.3
206,Bruno Fernando,Hawks,C,267,-1.7,-0.7,-2.4,-1.1,+6.0,+4.9,-1.7,+0.8,-0.9,0.3
207,Jordan McRae,Wizards,SG,235,+1.4,-2.3,-0.9,-2.1,+2.2,+0.1,+0.7,-1.4,-0.7,0.2
208,Terance Mann,Clippers,"SG, SF",146,-1.4,+1.2,-0.2,+0.6,+3.3,+4.0,-1.1,+1.6,+0.5,0.2
209,Matthew Dellavedova,Cavaliers,"PG, SG",235,-3.9,+2.9,-1.0,-7.4,+7.8,+0.4,-4.9,+4.2,-0.7,0.2
210,Damion Lee,Warriors,SG,241,-0.4,-0.6,-0.9,-1.1,+0.5,-0.6,-0.5,-0.3,-0.8,0.2
211,Brandon Clarke,Grizzlies,PF,381,+0.3,-1.6,-1.3,-1.6,-1.1,-2.7,-0.0,-1.5,-1.5,0.2
212,Willie Cauley-Stein,Warriors,C,426,-4.5,+3.1,-1.4,-2.7,-0.3,-3.0,-4.4,+2.7,-1.7,0.2
213,Kyle Anderson,Grizzlies,SF,348,+0.4,-0.9,-0.4,-3.2,-2.3,-5.4,-0.3,-1.1,-1.4,0.2
214,Naz Mitrou-Long,Pacers,"SG, SF",43,-1.0,+7.1,+6.1,-1.4,+15.0,+13.6,-1.1,+9.1,+8.0,0.2
215,Ed Davis,Jazz,C,108,-4.7,+7.2,+2.5,-11.1,+8.4,-2.8,-6.3,+7.8,+1.5,0.2
216,Robert Williams III,Celtics,C,237,-2.4,+2.4,+0.0,+3.6,-7.4,-3.8,-1.3,+0.4,-0.9,0.2
217,Bruno Caboclo,Grizzlies,"SG, SF",130,-5.1,+4.6,-0.5,-1.7,+6.1,+4.4,-4.7,+5.2,+0.6,0.2
218,Julius Randle,Knicks,PF,681,-1.8,-0.8,-2.6,+0.0,-0.2,-0.1,-1.4,-0.7,-2.1,0.2
219,E'Twaun Moore,Pelicans,SG,326,+0.6,-2.1,-1.5,-0.3,-0.5,-0.8,+0.4,-1.8,-1.4,0.2
220,Raul Neto,76ers,PG,213,-0.9,+1.4,+0.5,-4.8,-0.3,-5.1,-1.7,+1.0,-0.8,0.2
221,Bruce Brown,Pistons,SG,561,-4.0,+2.6,-1.3,-3.8,-0.4,-4.2,-4.2,+2.2,-2.0,0.2
222,Juancho Hernangomez,Nuggets,PF,142,-2.1,+1.9,-0.2,-0.5,+2.3,+1.8,-1.9,+2.0,+0.1,0.2
223,Meyers Leonard,Heat,C,376,-2.0,-0.9,-2.9,+1.3,+3.4,+4.7,-1.4,-0.2,-1.7,0.2
224,Pat Connaughton,Bucks,SG,342,+0.5,-0.8,-0.3,+0.3,-6.0,-5.7,+0.5,-2.0,-1.6,0.2
225,Jake Layman,Timberwolves,SF,369,-2.2,-1.4,-3.6,-0.0,+6.2,+6.2,-1.9,+0.1,-1.7,0.2
226,Nicolas Batum,Hornets,"SG, SF",235,-2.6,-0.0,-2.6,+2.0,+2.9,+4.9,-1.8,+0.6,-1.2,0.2
227,Chimezie Metu,Spurs,"PF, C",21,+13.4,+5.5,+18.9,-5.7,+1.3,-4.4,+10.2,+5.1,+15.3,0.2
