Player,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
Marco Belinelli,46.38,22.32,8.41,12.03,5.36,4.93,0.58,0.372,0.409,0.483,0.566,0.378,0.412,0
Justin Holiday,38.35,15.7,7.98,16.6,10.3,10.81,0.26,0.315,0.369,0.194,0.628,0.425,0.405,0
Dwight Powell,24.01,2.92,8.77,62,1.25,1.04,0,0.304,0.071,0.357,0.771,0.5,0.2,0
Monte Morris,22.3,19.57,26.19,22.16,4.03,5.61,0.14,0.406,0.456,0.533,0.597,0.5,0.385,0
Kenneth Faried,5.66,2.64,13.21,74.72,1.13,2.26,0.38,0.333,0.857,0.371,0.652,0,0.5,0
Wendell Carter Jr.,4.85,24.53,22.91,43.94,1.08,2.7,0,0.222,0.352,0.4,0.663,0,0.2,0
Danny Green,39.52,9.37,8.73,12.86,18.41,10.79,0.32,0.422,0.441,0.345,0.617,0.526,0.471,0
Wayne Ellington,58.26,4.46,4.46,9.82,11.38,11.61,0,0.36,0.3,0.45,0.705,0.431,0.346,0
Tyreke Evans,28.64,14.55,7.88,44.85,2.58,1.52,0,0.365,0.323,0.269,0.456,0.471,0,0
Cody Zeller,6.38,2.9,25.22,65.51,0,0,0,0.273,0.3,0.402,0.646,0,0,0
Marvin Williams,38.96,5.21,17.33,18.87,6.29,13.19,0.15,0.346,0.412,0.425,0.593,0.39,0.419,0
Kelly Olynyk,42.91,7.45,7.62,28.37,6.74,6.74,0.18,0.347,0.357,0.512,0.694,0.368,0.395,0
Kadeem Allen,21.43,18.57,22.86,32.86,3.57,0.71,0,0.5,0.346,0.344,0.609,0.2,1,0
Avery Bradley,24.34,31.58,10.86,17.6,4.61,10.53,0.49,0.345,0.453,0.379,0.467,0.393,0.375,0
Derrick White,21.73,20.07,23.02,30.76,3.31,1.1,0,0.331,0.477,0.472,0.605,0.444,0.167,0
Patty Mills,46.91,19.76,4.22,15.23,6.94,6.79,0.15,0.373,0.344,0.5,0.634,0.457,0.489,0
