,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,url_list
55,Avery Bradley,SG,29,LAL,10,10,274,7.2,14.7,.488,1.4,4.9,.286,5.8,9.8,.589,1.0,1.4,.750,1.2,4.4,5.6,3.1,1.7,0.2,1.9,4.5,16.8,,107,106,https://www.basketball-reference.com/players/b/bradlav01.html
56,Tony Bradley,C,22,UTA,13,2,142,9.1,13.8,.659,0.0,0.0,,9.1,13.8,.659,3.0,4.7,.643,6.4,10.4,16.8,1.3,0.7,2.4,2.4,8.7,21.2,,128,102,https://www.basketball-reference.com/players/b/bradlto01.html
57,Jarrell Brantley,PF,23,UTA,1,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,28.7,28.7,9.6,0.0,9.6,0.0,0.0,0.0,,232,84,https://www.basketball-reference.com/players/b/brantja01.html
58,Ignas Brazdeikis,SF,21,NYK,5,0,24,6.1,20.4,.300,0.0,4.1,.000,6.1,16.3,.375,4.1,4.1,1.000,2.0,0.0,2.0,2.0,0.0,2.0,4.1,4.1,16.3,,74,119,https://www.basketball-reference.com/players/b/brazdig01.html
59,Mikal Bridges,SF,23,PHO,17,0,340,4.5,10.4,.434,0.7,3.6,.192,3.8,6.9,.560,3.3,4.0,.828,1.8,6.6,8.4,2.5,3.4,0.7,1.1,3.8,13.0,,113,105,https://www.basketball-reference.com/players/b/bridgmi01.html
60,Miles Bridges,SF,21,CHO,19,19,600,7.8,16.8,.464,2.4,6.8,.353,5.4,10.0,.540,1.4,1.9,.750,1.9,6.2,8.1,3.0,0.9,1.1,2.6,3.0,19.5,,104,114,https://www.basketball-reference.com/players/b/bridgmi02.html
61,Oshae Brissett,SF,21,TOR,3,0,13,3.7,11.0,.333,3.7,3.7,1.000,0.0,7.3,.000,0.0,0.0,,0.0,3.7,3.7,3.7,3.7,0.0,0.0,0.0,11.0,,115,103,https://www.basketball-reference.com/players/b/brissos01.html
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 62
63,Ryan Broekhoff,SG,29,DAL,4,0,25,7.7,15.3,.500,7.7,9.6,.800,0.0,5.7,.000,0.0,0.0,,0.0,9.6,9.6,5.7,1.9,0.0,1.9,1.9,23.0,,138,108,https://www.basketball-reference.com/players/b/broekry01.html
64,Malcolm Brogdon,PG,27,IND,14,14,432,11.1,23.4,.474,2.2,6.8,.328,8.8,16.6,.534,5.4,5.6,.960,1.0,6.6,7.6,12.8,1.5,0.3,4.4,3.2,29.8,,116,105,https://www.basketball-reference.com/players/b/brogdma01.html
65,Dillon Brooks,SG,24,MEM,17,17,465,7.7,19.8,.390,2.9,7.6,.377,4.9,12.2,.398,3.2,3.8,.842,1.8,4.0,5.8,3.5,1.8,0.7,2.5,6.5,21.5,,100,114,https://www.basketball-reference.com/players/b/brookdi01.html
66,Bruce Brown,SG,23,DET,18,14,489,5.4,12.6,.433,1.0,2.9,.345,4.5,9.7,.459,1.8,3.3,.545,1.5,5.6,7.1,6.4,1.9,1.0,3.6,5.1,13.7,,96,110,https://www.basketball-reference.com/players/b/brownbr01.html
67,Charlie Brown,SG,22,ATL,4,0,16,2.9,8.8,.333,2.9,2.9,1.000,0.0,5.8,.000,11.7,11.7,1.000,5.8,2.9,8.8,0.0,0.0,2.9,0.0,0.0,20.4,,169,118,https://www.basketball-reference.com/players/b/brownch02.html
68,Jaylen Brown,SF,23,BOS,14,14,466,10.5,21.8,.483,2.6,7.1,.362,7.9,14.6,.542,4.4,6.0,.741,1.5,9.1,10.6,3.1,1.8,0.4,2.3,4.5,28.1,,112,103,https://www.basketball-reference.com/players/b/brownja02.html
69,Moses Brown,C,20,POR,4,0,15,9.3,21.8,.429,0.0,0.0,,9.3,21.8,.429,6.2,12.5,.500,6.2,21.8,28.0,0.0,3.1,0.0,3.1,12.5,24.9,,95,99,https://www.basketball-reference.com/players/b/brownmo01.html
70,Sterling Brown,SF,24,MIL,15,0,255,5.5,13.1,.419,2.7,7.1,.375,2.8,6.0,.471,1.8,2.3,.769,2.0,11.4,13.3,3.9,1.4,0.4,2.7,3.7,15.4,,106,103,https://www.basketball-reference.com/players/b/brownst02.html
71,Troy Brown,SG,20,WAS,13,9,275,6.0,13.9,.434,1.2,3.8,.304,4.8,10.0,.483,1.5,1.7,.900,2.8,7.2,10.0,4.5,2.3,0.2,2.5,2.3,14.7,,104,114,https://www.basketball-reference.com/players/b/browntr01.html
72,Jalen Brunson,PG,23,DAL,17,3,295,8.3,17.5,.472,1.5,5.4,.273,6.8,12.2,.560,2.9,4.4,.667,1.6,5.7,7.3,8.1,1.6,0.0,2.9,3.4,20.9,,112,111,https://www.basketball-reference.com/players/b/brunsja01.html
73,Thomas Bryant,C,22,WAS,16,16,458,9.6,16.8,.575,1.0,3.4,.294,8.6,13.3,.647,3.5,4.5,.778,3.8,10.2,14.0,4.2,0.8,1.8,2.2,3.9,23.8,,126,114,https://www.basketball-reference.com/players/b/bryanth01.html
74,Trey Burke,PG,27,PHI,6,0,105,6.4,18.7,.341,1.8,4.6,.400,4.6,14.1,.323,2.7,3.6,.750,1.8,3.2,5.0,9.1,0.9,0.5,0.9,2.3,17.3,,108,108,https://www.basketball-reference.com/players/b/burketr01.html
75,Alec Burks,SG,28,GSW,16,7,454,8.0,19.9,.403,2.4,6.8,.354,5.6,13.1,.429,6.5,7.2,.899,0.9,6.9,7.8,4.7,1.4,0.6,2.4,3.7,24.9,,109,115,https://www.basketball-reference.com/players/b/burksal01.html
76,Deonte Burton,SG,26,OKC,9,0,75,7.7,19.3,.400,3.2,10.3,.313,4.5,9.0,.500,1.3,1.3,1.000,1.3,9.6,10.9,1.3,0.6,0.0,1.9,5.1,19.9,,95,110,https://www.basketball-reference.com/players/b/burtode02.html
77,Jimmy Butler,SF,30,MIA,13,13,438,7.8,17.9,.436,1.0,3.8,.257,6.8,14.1,.485,10.1,11.6,.869,2.7,4.9,7.6,9.4,3.7,1.2,3.6,1.7,26.7,,122,100,https://www.basketball-reference.com/players/b/butleji01.html
78,Bruno Caboclo,SF,24,MEM,10,0,87,7.4,17.0,.438,1.6,6.9,.231,5.8,10.1,.579,0.0,0.0,,3.2,6.4,9.5,2.7,2.1,4.2,2.1,6.4,16.4,,98,108,https://www.basketball-reference.com/players/c/cabocbr01.html
79,Kentavious Caldwell-Pope,SG,26,LAL,18,8,412,6.5,14.4,.452,2.6,6.2,.415,4.0,8.3,.479,1.6,2.1,.778,1.0,3.5,4.5,2.8,1.5,0.3,1.7,3.5,17.2,,109,107,https://www.basketball-reference.com/players/c/caldwke01.html
80,Vlatko Čančar,SF,22,DEN,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,112,https://www.basketball-reference.com/players/c/cancavl01.html
81,Clint Capela,C,25,HOU,15,15,478,9.6,15.0,.637,0.0,0.0,,9.6,15.0,.637,1.8,4.1,.442,5.4,15.7,21.0,1.4,1.2,2.9,2.2,4.1,20.9,,122,102,https://www.basketball-reference.com/players/c/capelca01.html
82,DeMarre Carroll,SF,33,SAS,9,0,100,3.3,10.4,.318,1.4,5.2,.273,1.9,5.2,.364,1.9,1.9,1.000,3.3,9.0,12.3,4.3,0.5,0.9,2.4,6.6,10.0,,99,115,https://www.basketball-reference.com/players/c/carrode01.html
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 83
84,Jevon Carter,PG,24,PHO,13,2,196,4.8,11.7,.408,2.9,7.1,.400,1.9,4.5,.421,1.0,1.0,1.000,0.7,5.2,6.0,5.7,2.9,1.2,3.6,5.0,13.3,,98,106,https://www.basketball-reference.com/players/c/carteje01.html
85,Vince Carter,SF,43,ATL,13,0,202,6.2,17.1,.365,2.8,11.1,.250,3.5,6.0,.577,1.2,1.4,.833,0.7,6.0,6.7,1.8,0.9,0.7,2.1,5.5,16.4,,90,116,https://www.basketball-reference.com/players/c/cartevi01.html
86,Wendell Carter,C,20,CHI,19,19,545,7.9,13.6,.582,0.2,1.0,.167,7.7,12.6,.616,4.5,6.4,.693,6.1,9.8,15.9,1.5,0.9,1.4,2.2,6.6,20.5,,123,107,https://www.basketball-reference.com/players/c/cartewe01.html
87,Michael Carter-Williams,SG,28,ORL,10,0,149,4.6,15.5,.298,1.0,5.6,.176,3.6,9.9,.367,5.3,6.6,.800,3.6,6.6,10.2,4.3,2.6,2.0,2.6,5.6,15.5,,94,103,https://www.basketball-reference.com/players/c/cartemi01.html
