,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,url_list,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,Unnamed: 0,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
209,Danuel House,SF,26.0,HOU,14.0,13.0,416.0,6.0,12.7,0.474,4.0,8.9,0.444,2.1,3.8,0.5429999999999999,3.0,3.7,0.794,1.8,5.3,7.0,1.8,2.0,1.1,1.4,3.1,19.0,128.0,109.0,https://www.basketball-reference.com/players/h/houseda01.html,15.7,0.6609999999999999,0.698,0.293,3.9,11.7,7.8,5.5,2.0,2.1,9.0,14.0,0.0,1.0,0.4,1.4,0.157,0.0,2.1,0.5,2.5,0.5,35.0,"$3,540,000",,,,,,,,,,,,
216,Ersan İlyasova,PF,32.0,MIL,16.0,0.0,257.0,6.5,14.1,0.46299999999999997,1.9,7.2,0.268,4.6,6.9,0.667,3.0,3.5,0.85,3.5,10.6,14.1,1.6,1.4,1.1,0.9,5.3,18.0,123.0,102.0,https://www.basketball-reference.com/players/i/ilyaser01.html,15.6,0.574,0.513,0.25,7.9,22.2,15.3,4.7,1.4,2.0,5.3,14.9,0.0,0.5,0.5,1.0,0.185,0.0,0.2,0.2,0.4,0.2,248.0,"$7,000,000",,,,,,,,,,,,
221,Wesley Iwundu,SF,25.0,ORL,9.0,3.0,132.0,3.0,11.5,0.258,0.4,3.4,0.111,2.6,8.2,0.318,4.8,6.0,0.813,1.1,6.3,7.4,2.6,1.5,0.7,1.5,3.0,11.2,88.0,107.0,https://www.basketball-reference.com/players/i/iwundwe01.html,6.1,0.39399999999999996,0.29,0.516,2.3,14.3,8.0,7.3,1.5,1.4,9.5,13.8,0.0,-0.1,0.2,0.0,0.009000000000000001,0.0,-6.1,0.7,-5.4,-0.1,376.0,"$1,618,520",,,,,,,,,,,,
223,Jaren Jackson,C,20.0,MEM,16.0,16.0,425.0,9.8,20.8,0.469,3.7,8.7,0.425,6.1,12.2,0.5,3.6,4.6,0.7859999999999999,2.5,6.4,8.9,2.1,0.9,1.5,3.3,6.8,26.8,107.0,114.0,https://www.basketball-reference.com/players/j/jacksja02.html,14.9,0.5870000000000001,0.41700000000000004,0.21899999999999997,5.8,14.9,10.3,6.8,0.9,2.9,12.5,23.4,0.0,0.4,0.2,0.5,0.062,0.0,0.4,-2.0,-1.7,0.0,199.0,"$6,927,480",,,,,,,,,,,,
229,DaQuan Jeffries,SG,22.0,SAC,2.0,0.0,11.0,4.5,4.5,1.0,0.0,0.0,0.0,4.5,4.5,1.0,0.0,0.0,0.0,4.5,0.0,4.5,4.5,0.0,0.0,0.0,4.5,8.9,213.0,119.0,https://www.basketball-reference.com/players/j/jeffrda01.html,12.8,1.0,0.0,0.0,10.2,0.0,5.2,12.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.16699999999999998,0.0,2.9,-3.0,-0.1,0.0,,,Kings,11.0,-0.6,10.8,10.2,-9.2,21.8,12.6,-2.2,13.5,11.3,0.1
236,Nikola Jokić,C,24.0,DEN,16.0,16.0,490.0,10.5,22.4,0.467,1.6,6.6,0.242,8.9,15.8,0.56,3.2,4.1,0.78,3.4,13.2,16.5,9.6,1.9,0.8,4.1,5.3,25.7,109.0,99.0,https://www.basketball-reference.com/players/j/jokicni01.html,20.5,0.531,0.293,0.182,7.2,28.7,17.8,31.3,1.9,1.5,14.4,24.7,0.0,0.7,1.1,1.8,0.172,0.0,2.3,3.9,6.2,1.0,17.0,"$26,573,595",,,,,,,,,,,,
238,Derrick Jones,SF,22.0,MIA,4.0,0.0,57.0,10.0,16.7,0.6,0.8,3.3,0.25,9.2,13.3,0.688,2.5,2.5,1.0,2.5,4.2,6.7,1.7,2.5,0.0,1.7,9.2,23.3,124.0,105.0,https://www.basketball-reference.com/players/j/jonesde02.html,16.1,0.657,0.2,0.15,6.4,9.4,8.0,5.8,2.5,0.0,8.6,17.6,0.0,0.1,0.1,0.2,0.184,0.0,0.6,-1.0,-0.3,0.0,310.0,"$1,645,357",,,,,,,,,,,,
250,Kevin Knox,SF,20.0,NYK,18.0,1.0,357.0,6.2,16.1,0.385,3.3,8.7,0.381,2.9,7.4,0.389,3.7,5.8,0.643,1.2,5.9,7.1,3.6,1.4,0.5,1.8,4.3,19.4,108.0,114.0,https://www.basketball-reference.com/players/k/knoxke01.html,11.7,0.52,0.5379999999999999,0.359,2.5,13.5,7.7,11.2,1.4,1.1,8.8,17.6,0.0,0.3,0.1,0.4,0.06,0.0,-0.8,-1.8,-2.7,-0.1,485.0,"$4,380,120",,,,,,,,,,,,
251,John Konchar,SG,23.0,MEM,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,https://www.basketball-reference.com/players/k/konchjo01.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026000000000000002,0.0,-5.8,-0.7,-6.5,0.0,,,Grizzlies,7.0,-3.8,-6.2,-10.0,-4.6,-13.8,-18.3,-4.2,-7.8,-12.0,-0.0
258,Skal Labissière,C,23.0,POR,19.0,0.0,317.0,8.0,13.8,0.574,0.3,0.9,0.33299999999999996,7.7,13.0,0.591,2.2,3.2,0.682,6.0,8.1,14.1,3.1,0.6,3.1,3.2,7.5,18.4,117.0,110.0,https://www.basketball-reference.com/players/l/labissk01.html,17.3,0.603,0.064,0.23399999999999999,13.3,17.4,15.4,9.5,0.6,5.5,17.5,16.5,0.0,0.6,0.3,0.9,0.132,0.0,-0.2,2.1,2.0,0.3,220.0,"$2,338,847",,,,,,,,,,,,
