,Player,Age_x,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%_x,OREB,DREB_x,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB_y,DREB%,T_DREB%_x,STL,T_STL%_x,BLK,T_BLK%_x,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_DREB%_y,T_REB%,T_AST%,T_TOV%,T_STL%_y,T_BLK%_y,T_BLKA%,T_PF%,T_PFD%,T_PTS%,Age_y,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,FT%_y,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,Unnamed: 0,salary
424,Jordan Bone,22,1,2,2.1,0.7,1.7,40.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0,0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.016,41.2,66.7,55.6,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,66.7,0.0,33.3,22,80.0,20.0,100,50.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.0,0.0,Pistons,6.0,-30.5,-11.2,-41.7,-20.2,6.2,-14.0,-30.2,-8.5,-38.7,-0.1,,
429,DaQuan Jeffries,22,0,2,5.4,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,2.4,0,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.083,3.6,9.1,4.0,0.0,0.0,0.0,0.0,50.0,0.0,10.0,14.3,0.0,0.0,0.0,0.0,16.7,33.3,8.3,22,100,0.0,100,0.0,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.5,Kings,11.0,-0.6,10.8,10.2,-9.2,21.8,12.6,-2.2,13.5,11.3,0.1,,
430,Daryl Macon,24,3,0,4.4,0.3,1.0,33.3,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.3,0.8,0,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,1.0,2.7,0.066,17.2,12.5,16.7,33.3,25.0,0.0,0.0,0.0,0.0,0.0,12.5,25.0,0.0,0.0,0.0,20.0,0.0,13.6,24,33.3,66.7,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,0.0,0.0,1.3,0.7,1.0,2.7,0.0,0.0,Heat,13.0,-9.5,-0.2,-9.7,-13.3,22.7,9.4,-10.7,4.1,-6.7,-0.0,,
431,Dean Wade,23,0,3,6.1,0.3,0.7,50.0,0.3,0.3,100,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,1.0,2.8,0,0,1.0,0.7,11.1,28.6,0.3,33.3,0.0,0.0,1.3,3.7,1.3,8.7,-0.027,4.4,5.0,5.1,12.5,5.3,0.0,0.0,0.0,28.6,18.2,0.0,0.0,33.3,0.0,0.0,42.9,11.1,5.6,23,50.0,50.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,0.0,0.0,1.3,3.7,1.3,8.7,0.0,0.3,Cavaliers,18.0,-5.1,-6.5,-11.7,20.6,-9.2,11.5,-0.6,-7.1,-7.7,-0.0,,
434,Josh Gray,26,1,1,11.4,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,2.5,0.5,1.2,0,0,-3.5,0.5,4.0,6.7,0.0,0.0,0.0,0.0,7.0,4.0,5.5,11.0,0.082,13.7,7.1,6.1,0.0,0.0,0.0,0.0,50.0,6.7,11.8,20.0,31.3,0.0,0.0,0.0,11.1,25.0,5.6,26,100,0.0,100,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,100,0.0,0.0,0.0,1.0,7.0,4.0,5.5,11.0,0.0,0.5,Pelicans,23.0,-8.3,0.6,-7.6,-18.5,9.3,-9.2,-10.6,2.3,-8.3,-0.1,,
436,Melvin Frazier Jr.,23,0,2,3.8,0.5,2.5,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,2.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,1.0,4.0,-0.001,23.8,11.1,27.8,0.0,50.0,0.0,0.0,25.0,0.0,14.3,16.7,0.0,0.0,0.0,100,0.0,0.0,10.0,23,80.0,20.0,100,100,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,100,0.0,1.0,1.0,0.0,0.0,1.0,2.5,1.0,4.0,0.5,0.0,Magic,8.0,-4.0,-24.1,-28.1,3.0,-18.8,-15.7,-2.8,-24.4,-27.2,-0.1,,
437,Oshae Brissett,21,3,0,4.2,0.3,1.0,33.3,0.3,0.3,100,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,2.9,0,0,-0.3,0.3,9.1,11.1,0.3,50.0,0.0,0.0,2.7,0.7,1.0,4.0,-0.011,10.0,7.7,14.3,14.3,10.0,0.0,0.0,0.0,11.1,11.1,10.0,0.0,50.0,0.0,0.0,0.0,0.0,8.8,21,66.7,33.3,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,0.0,0.0,2.7,0.7,1.0,4.0,0.0,0.0,Raptors,13.0,-0.9,-0.6,-1.5,11.1,-13.1,-2.1,1.2,-3.1,-1.9,0.0,,
438,Zylan Cheatham,24,1,1,9.9,0.5,2.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.5,1.5,3.1,0,0,-11.5,1.5,15.0,25.0,0.0,0.0,0.0,0.0,4.0,5.5,3.0,12.0,-0.044,12.2,9.1,12.9,0.0,7.1,0.0,0.0,0.0,25.0,23.1,14.3,14.3,0.0,0.0,0.0,37.5,0.0,6.7,24,75.0,25.0,100,0.0,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,1.0,4.0,5.5,3.0,12.0,0.0,0.0,Pelicans,20.0,-8.2,-9.9,-18.2,-16.5,-17.9,-34.4,-10.2,-11.9,-22.1,-0.2,,
440,Derrick Walton Jr.,24,2,2,3.1,0.3,0.5,50.0,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.9,0,0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.5,2.5,0.028,12.0,10.0,11.8,14.3,18.2,0.0,0.0,0.0,0.0,0.0,16.7,25.0,0.0,0.0,0.0,33.3,0.0,9.7,24,0.0,100,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,100,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.5,2.5,0.0,0.0,Clippers,9.0,0.4,-4.4,-4.0,13.3,10.2,23.5,2.7,-2.1,0.6,0.0,,
441,Brian Bowen II,21,2,1,3.2,0.3,1.3,25.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,2.1,0,0,1.0,0.3,10.0,12.5,0.0,0.0,0.3,50.0,0.0,0.0,0.7,2.0,0.016,16.0,10.0,20.0,0.0,20.0,0.0,0.0,0.0,12.5,9.1,0.0,0.0,0.0,50.0,0.0,0.0,20.0,8.7,21,75.0,25.0,100,0.0,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,2.0,0.0,0.3,Pacers,10.0,-7.6,7.4,-0.2,-1.1,0.8,-0.3,-6.7,6.5,-0.2,0.0,,
442,Jaylen Hoard,20,3,0,3.6,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.3,0.3,0.0,0.3,3.8,0,0,-3.3,1.0,25.0,33.3,0.3,33.3,0.0,0.0,0.7,0.0,1.0,3.3,-0.022,5.9,10.0,9.1,0.0,0.0,0.0,0.0,25.0,33.3,30.8,33.3,0.0,33.3,0.0,0.0,11.1,0.0,8.0,20,100,0.0,100,0.0,0.0,100,0.0,100,100,0.0,100,0.0,0.0,0.0,100,0.7,0.0,0.7,0.7,0.7,0.0,1.0,3.3,0.0,0.0,Trail Blazers,11.0,6.6,-7.9,-1.3,-1.0,-15.2,-16.3,5.5,-9.7,-4.2,-0.0,,
444,Timothe Luwawu-Cabarrot,24,0,2,3.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,4.0,0.021,21.4,0.0,22.2,0.0,16.7,50.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,33.3,11.1,24,50.0,50.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,4.0,0.5,0.5,Nets,6.0,-17.3,-9.3,-26.6,-20.9,1.5,-19.3,-18.8,-7.8,-26.6,-0.1,,
445,Drew Eubanks,22,2,0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.5,1.0,1.3,0,0,-4.0,0.5,100,100,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.0,-0.021,36.4,0.0,42.9,0.0,0.0,0.0,0.0,100,100,100,0.0,100,0.0,0.0,100,66.7,0.0,0.0,22,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.0,0.5,0.0,Spurs,2.0,-39.9,-9.7,-49.6,-38.0,1.0,-37.1,-42.0,-8.3,-50.2,-0.1,,
446,Garrison Mathews,23,1,1,6.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,1.5,1.6,0,0,4.0,0.5,5.6,8.3,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0,0.124,8.1,0.0,8.0,0.0,14.3,0.0,0.0,0.0,8.3,7.1,33.3,12.5,0.0,0.0,50.0,42.9,28.6,0.0,23,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0,0.5,1.0,Wizards,14.0,-4.9,0.9,-4.0,-16.0,30.6,14.6,-7.3,6.4,-0.9,0.0,,
447,Henry Ellenson,22,1,0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,8.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,8.0,0.0,0.0,Nets,3.0,-0.6,-12.5,-13.1,-17.2,-3.6,-20.8,-3.9,-11.6,-15.4,-0.0,,
448,Jared Harper,22,1,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.014,14.3,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Suns,2.0,-12.9,-8.9,-21.7,-18.0,-1.9,-19.9,-14.6,-8.1,-22.8,-0.0,,
450,Jarrell Brantley,23,0,1,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,8.1,0,0,7.0,3.0,50.0,60.0,0.0,0.0,1.0,100,2.0,0.0,2.0,6.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,33.3,0.0,0.0,100,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,Jazz,5.0,5.0,0.4,5.4,28.1,18.0,46.1,9.6,3.5,13.1,0.0,,
451,John Konchar,23,0,1,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,6.0,-0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,6.0,0.0,0.0,Grizzlies,7.0,-3.8,-6.2,-10.0,-4.6,-13.8,-18.3,-4.2,-7.8,-12.0,-0.0,,
452,Juwan Morgan,22,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.2,0,0,-1.0,1.0,14.3,33.3,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,Jazz,3.0,-1.9,-6.3,-8.2,-13.8,16.7,2.9,-4.1,-2.5,-6.6,-0.0,,
455,Kostas Antetokounmpo,22,2,0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.6,0,0,1.0,0.5,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Lakers,3.0,-2.7,-14.1,-16.8,9.9,11.0,20.8,-0.5,-10.4,-10.8,-0.0,,
461,Vlatko Cancar,22,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nuggets,2.0,-10.0,-14.8,-24.9,-1.0,16.6,15.6,-8.7,-9.8,-18.6,-0.0,,
462,Zach Norvell Jr.,21,2,0,2.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.6,0,0,-2.0,0.5,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.001,7.7,0.0,11.1,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Lakers,5.0,-10.1,-11.9,-22.0,-7.6,-9.6,-17.2,-10.2,-12.2,-22.3,-0.0,,
463,Luol Deng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,"$4,990,000"
464,DeMarcus Cousins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,"$3,500,000"
465,Talen Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,"$898,310"
466,Nikola Jokić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,"$26,573,595"
467,Michael Porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,"$3,389,400"
468,Juan Hernangómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,"$3,321,030"
469,Vlatko Čančar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,"$1,517,981"
470,Danuel House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,"$3,540,000"
471,Gerald Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,"$2,564,753"
472,Nenê Hilário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,"$2,564,753"
473,Troy Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,"$122,741"
474,Derrick Walton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,"$1,445,697"
475,Bojan Bogdanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,"$17,000,000"
476,William Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,"$50,000"
477,Kristaps Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,"$27,285,000"
478,Tim Hardaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,"$18,150,000"
479,Luka Dončić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,"$7,683,360"
480,Boban Marjanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,"$3,500,000"
481,Isaiah Roby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,"$1,500,000"
482,Kelly Oubre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,"$15,625,000"
483,Dario Šarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,"$3,481,986"
484,Ty Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,"$2,193,480"
485,Jalen Lecque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,"$898,310"
486,Naz Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,"$898,310"
487,Cole Aldrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,"$685,340"
488,Marvin Bagley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,"$8,556,120"
489,Bogdan Bogdanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,"$8,529,386"
490,Harry Giles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,"$2,578,800"
491,Matt Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,"$2,133,541"
492,Tyler Lydon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,"$50,000"
493,Tyler Ulis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,"$50,000"
494,Hollis Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,"$50,000"
495,J.J. Redick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,"$13,486,300"
496,Zion Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,"$9,757,440"
497,Darius Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,"$7,250,000"
498,Nicolò Melli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,"$3,902,439"
499,Pau Gasol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,"$5,100,000"
500,Pau Gasol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,"$2,564,753"
501,Jakob Pöltl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,"$3,754,886"
502,Lonnie Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,"$2,760,480"
503,Luka Šamanić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,"$2,689,920"
504,Dennis Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,"$15,500,000"
505,Andre Roberson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,"$10,740,741"
506,Kyle Singler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0,"$999,200"
507,Andre Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,"$17,185,185"
508,Jonas Valančiūnas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,"$16,000,000"
