,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,off_kmean
100,Donovan Mitchell,23.0,12.0,7.0,34.8,9.2,20.8,44.3,2.4,6.2,38.1,4.5,5.4,83.5,1.0,4.1,5.1,3.7,2.2,2.4,39.7,1.0,0.0,3.4,4.1,15.3,1.4,30.6,0.3,9.1,10.7,10.1,8.7,33.1,0.147,30.7,32.2,33.8,27.1,27.9,32.0,29.4,17.6,15.7,24.2,20.0,27.6,15.8,26.0,31.6,70.1,29.9,54.1,17.0,28.1,6.4,8.3,37.0,29.2,70.8,64.4,35.6,38.3,61.7,2.1,1.7,1.6,9.4,10.7,10.1,8.7,33.1,1.1,4.2,625.0,4.0,0.6,4.7,4.1,-0.5,3.6,4.2,0.4,4.7,2.4,"$3,635,760",2
101,Andrew Wiggins,24.0,9.0,6.0,35.0,9.7,20.7,46.8,2.3,6.6,35.4,3.6,5.3,68.4,1.2,4.2,5.4,3.3,1.8,2.4,40.2,0.0,0.0,3.6,4.2,15.6,0.7,11.8,1.1,21.3,10.9,9.5,8.7,34.5,0.107,28.4,31.6,30.8,24.5,23.5,25.8,28.9,14.1,15.2,18.7,17.5,33.9,15.7,25.1,29.8,68.1,31.9,58.0,8.4,27.7,3.7,13.7,49.6,37.3,62.7,65.7,34.3,44.1,55.9,3.5,1.6,0.9,12.5,10.9,9.5,8.7,34.5,1.3,4.0,524.0,2.4,-2.7,-0.2,7.1,-0.3,6.7,3.5,-2.4,1.1,1.0,"$27,270,000",2
102,Pascal Siakam,25.0,14.0,4.0,36.9,9.4,20.4,46.0,2.4,6.3,37.7,3.9,4.9,80.7,1.7,6.9,8.6,3.9,2.8,3.1,43.4,7.0,0.0,10.3,6.9,24.3,0.8,13.5,0.8,23.0,12.8,9.4,7.7,30.9,0.18,29.1,29.8,30.5,20.6,22.8,28.9,29.0,26.1,24.6,20.1,25.1,28.2,19.0,25.9,28.4,68.9,31.1,55.8,7.5,28.5,16.6,15.7,48.2,42.9,57.1,67.4,32.6,49.1,50.9,3.9,1.5,4.2,12.1,12.8,9.4,7.7,30.9,1.3,4.2,624.0,2.0,0.0,2.0,9.4,5.8,15.2,3.4,1.0,4.4,2.3,"$2,351,839",2
103,Kawhi Leonard,28.0,11.0,3.0,31.5,8.9,20.5,43.6,1.6,5.1,30.6,5.6,6.7,84.0,1.1,6.8,7.9,5.5,3.5,2.2,47.8,5.0,0.0,7.4,6.8,26.8,2.0,35.9,0.9,25.5,9.7,5.1,9.9,25.9,0.177,34.5,33.8,34.7,22.2,23.7,44.1,41.6,13.4,23.6,37.0,36.8,27.8,14.9,33.9,34.5,74.9,25.1,58.7,21.7,18.8,12.8,12.8,37.0,23.3,76.7,63.6,36.4,30.4,69.6,3.2,2.7,3.2,9.3,9.7,5.1,9.9,25.9,0.7,5.5,414.0,3.4,4.8,8.1,2.1,6.6,8.7,3.3,5.3,8.6,2.4,"$32,742,000",2
104,Devin Booker,23.0,8.0,10.0,35.4,8.8,17.2,51.0,2.2,5.2,41.9,4.8,5.0,95.6,0.5,3.2,3.7,6.3,4.1,3.2,37.0,2.0,0.0,1.2,3.2,12.8,0.6,11.2,0.3,11.3,12.6,9.0,9.3,37.1,0.055,27.5,28.6,26.2,21.3,19.3,31.9,28.6,7.6,11.7,31.1,38.3,21.7,18.2,27.4,28.3,70.0,30.0,54.0,10.9,26.5,19.3,18.6,43.1,44.5,55.5,64.1,35.9,49.4,50.6,4.6,2.2,4.7,10.6,12.6,9.0,9.3,37.1,0.8,5.0,600.0,2.8,-3.0,-0.2,7.6,-6.2,1.5,3.8,-3.8,0.1,0.9,"$27,250,000",2
105,D'Angelo Russell,23.0,1.0,9.0,31.5,8.5,18.7,45.5,2.8,7.9,35.4,4.5,5.9,76.3,0.2,3.4,3.6,6.7,3.4,1.8,39.2,0.0,0.0,-10.8,3.4,15.5,0.8,15.4,0.5,15.6,13.4,12.3,9.4,36.2,-0.032,31.8,32.0,31.6,45.2,36.9,38.5,41.3,3.2,12.8,39.9,32.7,13.3,13.5,34.5,34.2,57.8,42.2,46.9,23.0,34.6,16.5,12.8,23.9,36.8,63.2,53.6,46.4,42.4,57.6,3.1,2.0,4.0,5.8,13.4,12.3,9.4,36.2,0.4,4.1,315.0,4.9,-3.5,1.4,-2.3,-6.5,-8.7,4.0,-4.2,-0.2,0.4,"$27,285,000",2
106,Joel Embiid,25.0,12.0,4.0,30.1,7.4,16.1,45.7,1.2,3.9,30.6,6.9,8.4,81.5,2.7,9.6,12.3,2.8,2.9,3.4,45.8,12.0,0.0,7.0,9.6,40.0,0.9,16.9,1.4,37.1,9.8,5.6,7.4,24.1,0.207,31.5,30.7,31.1,21.3,22.7,53.4,51.1,43.9,40.8,19.1,29.0,30.8,26.8,43.6,34.3,76.0,24.0,54.2,18.1,15.6,6.8,12.3,36.2,46.5,53.5,89.5,10.5,53.4,46.6,2.8,3.7,1.6,8.3,9.8,5.6,7.4,24.1,0.8,6.6,413.0,1.9,3.4,5.3,-5.2,7.7,2.5,0.7,4.3,5.0,1.6,"$27,504,630",2
107,Paul George,29.0,7.0,2.0,29.5,7.0,16.4,42.6,3.8,9.7,39.1,4.8,5.1,93.5,0.7,5.4,6.1,3.9,3.9,2.4,37.5,0.0,0.0,6.6,5.4,24.0,1.6,25.0,0.3,9.1,10.6,6.6,9.4,24.2,0.149,29.8,27.5,29.1,47.2,43.3,39.4,34.6,7.8,19.6,24.3,35.4,13.0,16.8,27.7,31.8,41.2,58.8,28.6,8.9,50.2,10.3,15.8,19.7,55.2,44.8,85.3,14.7,71.4,28.6,3.6,1.9,2.3,4.4,10.6,6.6,9.4,24.2,0.3,4.0,233.0,5.9,0.9,6.8,1.1,3.6,4.7,5.3,1.4,6.7,1.1,"$33,005,556",2
108,Zach LaVine,24.0,6.0,14.0,32.1,7.8,18.1,43.1,3.0,7.4,40.1,3.6,4.5,80.9,0.8,3.3,4.1,4.0,3.3,2.6,35.1,0.0,0.0,-4.4,3.3,15.2,1.3,21.0,0.5,19.6,12.7,9.4,9.6,36.3,0.061,29.5,30.6,30.4,34.7,31.2,28.9,26.6,10.9,14.1,26.0,31.1,34.8,17.9,25.2,30.8,59.4,40.6,43.8,6.3,40.0,12.4,19.6,37.5,41.2,58.8,62.7,37.3,49.4,50.6,4.4,2.2,2.8,8.3,12.7,9.4,9.6,36.3,1.6,3.7,604.0,-0.3,0.3,-0.0,1.0,-8.9,-7.9,-0.0,-1.4,-1.4,0.4,"$19,500,000",2
109,Russell Westbrook,31.0,11.0,6.0,33.3,8.1,19.1,42.6,1.2,5.3,23.3,4.6,6.4,72.2,1.4,6.3,7.6,6.9,4.3,3.9,42.6,5.0,3.0,2.0,6.3,24.8,1.5,20.8,0.3,8.6,13.1,8.7,11.9,35.8,0.099,30.5,28.0,30.0,13.2,18.5,27.5,28.9,17.6,23.1,43.2,39.2,26.0,24.4,26.5,26.3,72.2,27.8,62.4,14.4,16.8,22.1,18.7,48.0,24.8,75.2,52.4,47.6,29.0,71.0,4.1,2.4,4.9,10.6,13.1,8.7,11.9,35.8,0.8,4.4,539.0,-1.1,-2.3,-3.4,-3.8,-1.5,-5.2,-1.6,-2.2,-3.9,-0.3,"$38,178,000",2
110,CJ McCollum,28.0,8.0,12.0,36.8,8.8,20.1,43.9,2.6,6.7,38.1,1.9,2.3,82.2,0.9,3.8,4.6,3.8,2.2,2.9,35.7,1.0,0.0,3.0,3.8,13.6,0.8,17.2,0.8,16.3,11.4,12.2,10.3,37.4,0.091,25.9,26.7,28.4,25.8,26.4,14.1,14.0,11.0,13.0,24.1,20.6,24.7,17.0,12.0,24.7,66.6,33.4,56.8,22.3,34.8,16.4,11.8,34.5,18.4,81.6,68.6,31.4,33.0,67.0,2.6,1.9,3.6,7.6,11.4,12.2,10.3,37.4,1.1,1.8,698.0,0.5,-1.4,-0.9,9.5,1.8,11.2,2.2,-0.9,1.3,1.4,"$27,556,959",2
111,Kemba Walker,29.0,12.0,5.0,32.2,7.0,17.2,40.6,3.4,8.8,38.9,4.5,4.9,91.7,1.2,3.5,4.7,4.7,2.1,1.8,36.6,0.0,0.0,4.2,3.5,15.0,0.9,14.4,0.5,13.6,9.8,9.0,9.1,27.8,0.10099999999999999,27.5,24.8,27.9,37.9,37.3,39.3,34.7,15.7,15.2,28.6,23.2,37.7,13.4,27.7,28.5,49.1,50.9,32.7,5.9,46.6,8.3,12.9,26.8,24.6,75.4,50.0,50.0,37.0,63.0,2.8,1.7,1.8,5.9,9.8,9.0,9.1,27.8,1.5,4.1,517.0,4.5,1.4,5.9,8.1,-5.8,2.3,5.5,0.0,5.5,2.2,"$34,379,100",2
112,Kyle Lowry,33.0,6.0,2.0,36.2,6.8,14.1,47.8,3.6,8.5,42.6,4.6,5.3,88.1,0.3,4.0,4.3,6.5,3.4,2.9,37.7,0.0,0.0,3.9,4.0,13.6,1.1,22.0,0.4,13.0,13.5,10.0,9.9,33.3,0.141,22.9,22.5,22.0,31.9,30.5,31.9,31.8,5.0,12.4,34.2,26.2,26.3,17.2,35.9,25.3,39.8,60.2,28.7,4.6,50.0,32.2,7.5,24.1,20.0,80.0,51.7,48.3,37.0,63.0,1.6,0.4,7.0,5.3,13.5,10.0,9.9,33.3,1.3,5.9,289.0,4.5,3.1,7.6,-2.8,-0.9,-3.7,3.3,2.5,5.8,1.3,"$33,296,296",2
113,DeMar DeRozan,30.0,7.0,13.0,34.1,8.5,16.1,52.6,0.1,0.3,20.0,4.8,5.9,81.2,0.5,5.1,5.6,4.7,2.7,3.0,37.2,1.0,0.0,-5.5,5.1,21.0,1.0,21.8,0.6,13.8,9.6,10.0,10.4,34.6,0.017,26.3,28.8,25.6,0.8,1.5,36.1,36.1,7.6,18.1,27.7,28.5,28.4,21.1,31.7,27.9,98.4,1.6,77.4,28.6,0.7,10.1,12.9,48.8,28.0,72.0,100.0,0.0,28.4,71.6,2.8,0.8,2.2,10.6,9.6,10.0,10.4,34.6,1.0,4.6,646.0,1.7,-4.4,-2.7,-2.0,-6.4,-8.3,1.1,-5.0,-3.9,-0.4,"$27,739,975",2
