,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,url_list,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,cluster
383,Eric Paschall,PF,23,GSW,16,10,499,9.4,19.1,0.495,0.9,4.1,0.233,8.5,15,0.566,5.5,6.8,0.806,1.9,5.8,7.7,2.4,0.7,0.6,2.1,3.1,25.3,112,118,https://www.basketball-reference.com/players/p/pascher01.html,15.6,0.573,0.213,0.356,4.2,13.3,8.7,8.2,0.7,1,8.6,21.5,0.8,-0.1,0.7,0.065,-0.2,-3.3,-3.5,-0.2,"$898,310 ",Warriors,499,-1.1,-5.4,-6.5,2.8,-7.6,-4.8,-0.5,-6,-6.4,-0.9,2
384,Patrick Patterson,PF,30,LAC,15,11,233,4.6,12.7,0.365,3.8,9.7,0.396,0.8,3,0.267,0.4,0.8,0.5,2.2,6.9,9.1,2.6,0.4,0.4,1.2,2.6,13.5,111,108,https://www.basketball-reference.com/players/p/pattepa01.html,8.7,0.502,0.758,0.065,5.1,14.4,9.9,7.5,0.4,0.8,8.6,12.5,0.1,0.2,0.4,0.08,-0.6,-0.5,-1.1,0.1,"$2,331,593 ",Clippers,233,-1.8,2,0.2,-0.6,-0.6,-1.1,-1.7,1.6,-0.1,0.3,8
385,Patrick Patterson,PF,30,LAC,15,11,233,4.6,12.7,0.365,3.8,9.7,0.396,0.8,3,0.267,0.4,0.8,0.5,2.2,6.9,9.1,2.6,0.4,0.4,1.2,2.6,13.5,111,108,https://www.basketball-reference.com/players/p/pattepa01.html,8.7,0.502,0.758,0.065,5.1,14.4,9.9,7.5,0.4,0.8,8.6,12.5,0.1,0.2,0.4,0.08,-0.6,-0.5,-1.1,0.1,"$737,067 ",Clippers,233,-1.8,2,0.2,-0.6,-0.6,-1.1,-1.7,1.6,-0.1,0.3,8
387,Chris Paul,PG,34,OKC,15,15,458,7.6,16.9,0.447,2.6,6.5,0.403,4.9,10.4,0.475,7.4,8.4,0.875,0.4,6,6.4,9,3,0,3.4,3.9,25.1,119,106,https://www.basketball-reference.com/players/p/paulch01.html,20.5,0.609,0.385,0.497,1,13.1,7.2,29.5,3,0,14,21.9,1.2,0.6,1.8,0.192,3.5,0.4,3.8,0.7,"$38,506,482 ",Thunder,458,4.5,-0.9,3.6,0.5,-4.1,-3.5,4.1,-1.5,2.6,1.2,7
388,Elfrid Payton,PG,25,NYK,4,3,102,5.3,13.9,0.379,2.4,3.8,0.625,2.9,10.1,0.286,2.4,2.9,0.833,1.4,4.3,5.8,7.2,4.8,0,3.4,3.8,15.4,103,107,https://www.basketball-reference.com/players/p/paytoel01.html,13.7,0.506,0.276,0.207,2.9,9.9,6.2,21.9,4.8,0,18.1,16,0,0.1,0.2,0.075,-1.6,0.9,-0.7,0,"$8,000,000 ",Knicks,102,-1.2,1.6,0.4,6.1,3.3,9.5,0,2,2,0.2,8
389,Theo Pinson,SG,24,BRK,7,0,102,5.4,19.5,0.279,2.3,9.1,0.25,3.2,10.4,0.304,2.3,2.7,0.833,0,4.1,4.1,5.9,2.7,0,4.1,3.2,15.4,76,109,https://www.basketball-reference.com/players/p/pinsoth01.html,6.5,0.408,0.462,0.154,0,9.6,4.9,18.5,2.7,0,14.4,23.4,-0.2,0.1,-0.1,-0.063,-5.3,-2,-7.3,-0.1,"$1,445,697 ",Nets,102,-5.4,-1,-6.3,-6.2,3.3,-2.9,-5.7,-0.3,-6,-0.2,3
390,Mason Plumlee,C,29,DEN,15,0,244,7.9,14.3,0.549,0,0.4,0,7.9,13.9,0.565,4,7.3,0.556,5.4,10.7,16.1,6.7,1.6,2.4,3.8,7.9,19.8,112,99,https://www.basketball-reference.com/players/p/plumlma01.html,17.5,0.559,0.033,0.525,10.4,23.5,16.8,20,1.7,4.5,18.5,17.3,0.3,0.5,0.8,0.17,-1.1,4.8,3.6,0.3,"$14,041,096 ",Nuggets,244,-1.8,4.7,2.9,-6.2,1.7,-4.4,-2.6,4.3,1.7,0.6,4
392,Jordan Poole,SG,20,GSW,17,9,449,5.1,19,0.271,2.3,9.8,0.237,2.8,9.2,0.307,3.1,3.5,0.909,0.3,4.1,4.4,4.1,1.2,0.4,2.5,4.2,15.7,80,118,https://www.basketball-reference.com/players/p/poolejo01.html,3.6,0.384,0.514,0.182,0.7,9.5,5,12.4,1.2,0.8,10.9,20.5,-1,-0.1,-1.1,-0.118,-5.4,-3.4,-8.8,-0.8,"$1,964,760 ",Warriors,449,-4.7,-1.9,-6.7,-6.2,1.8,-4.4,-5.2,-1.4,-6.5,-0.9,3
393,Bobby Portis,C,24,NYK,17,2,385,8,20,0.401,2.5,6.1,0.417,5.5,13.9,0.394,1.5,2,0.75,3.8,9.8,13.6,2.7,1.5,0.6,2.2,4.1,20.1,102,110,https://www.basketball-reference.com/players/p/portibo01.html,14.5,0.487,0.296,0.105,8.1,22.3,14.7,8.9,1.5,1.3,7.6,19.8,0.2,0.3,0.5,0.068,-1.7,-0.9,-2.6,-0.1,"$15,000,000 ",Knicks,385,-2.6,1,-1.7,-4.3,-2.4,-6.6,-3,0.5,-2.5,0.1,6
394,Dwight Powell,C,28,DAL,13,10,330,5.8,9,0.645,0.3,0.9,0.333,5.5,8.1,0.679,1.9,3.5,0.542,3.3,4.9,8.3,2.5,1,0.9,2.2,5.1,13.8,122,111,https://www.basketball-reference.com/players/p/poweldw01.html,12.6,0.658,0.098,0.361,7.8,10,8.9,7.1,1,1.1,15.5,11.7,0.6,0.2,0.8,0.122,0.6,0.2,0.7,0.2,"$10,259,375 ",Mavericks,330,-2,-0.1,-2.1,8.9,-3,5.8,-0.3,-0.6,-0.9,0.3,1
395,Norman Powell,SG,26,TOR,15,7,413,7.4,16.1,0.461,2.6,7.9,0.333,4.8,8.2,0.583,3,3.7,0.813,0.8,5.9,6.7,2.7,1.1,0.6,2.5,2.9,20.4,106,106,https://www.basketball-reference.com/players/p/powelno01.html,12.3,0.577,0.489,0.227,1.9,12,7.3,8.5,1.1,1.1,12.4,18.3,0.3,0.5,0.8,0.095,-0.5,0.3,-0.2,0.2,"$10,116,576 ",Raptors,413,-1,0.3,-0.6,-2.9,-2.9,-5.7,-1.4,-0.2,-1.6,0.2,2
396,Julius Randle,PF,25,NYK,17,17,563,9.2,20.8,0.444,1.4,5.3,0.262,7.8,15.5,0.506,4.3,7,0.613,3.7,9.7,13.4,5.6,1.2,0.3,5.1,4.8,24.1,98,111,https://www.basketball-reference.com/players/r/randlju01.html,13.8,0.499,0.258,0.332,7.8,22,14.5,19.1,1.3,0.6,17.8,25.5,-0.2,0.4,0.1,0.01,-1.6,-0.3,-1.9,0,"$18,000,000 ",Knicks,563,-2.5,-0.6,-3,-0.5,0.1,-0.4,-2.2,-0.4,-2.7,0,6
397,Cam Reddish,SF,20,ATL,14,12,344,4.9,16.5,0.298,1.6,6.9,0.235,3.3,9.5,0.343,3,3.8,0.786,1.2,6,7.2,3.3,2,0.7,3.9,3.8,14.4,78,114,https://www.basketball-reference.com/players/r/reddica01.html,4.6,0.398,0.421,0.231,2.9,14.2,8.6,9.7,2,1.3,17.9,19.6,-0.9,0.1,-0.8,-0.107,-6,-1.4,-7.4,-0.5,"$4,245,720 ",Hawks,344,-6,0.4,-5.6,-13.2,0.1,-13.1,-7.5,0.5,-7,-0.8,3
398,Josh Richardson,SG,26,PHI,14,14,458,8.3,18.6,0.447,2.7,7.4,0.366,5.6,11.2,0.5,4,4.7,0.844,0.9,4.2,5.1,5.6,1.9,0.8,3.6,4.7,23.3,106,105,https://www.basketball-reference.com/players/r/richajo01.html,14.1,0.563,0.397,0.251,2.2,9.6,6,17,1.9,1.5,15,21.5,0.4,0.6,1,0.109,0.3,-0.1,0.2,0.3,"$10,100,000 ",76ers,458,1.1,2.2,3.2,6,3.2,9.3,1.9,2.4,4.3,1.7,7
399,Austin Rivers,SG,27,HOU,17,1,404,5.5,13.7,0.402,2.3,7.8,0.29,3.3,6,0.547,1.5,2.1,0.684,1.2,3.5,4.7,2.4,0.9,0.2,1.1,3.4,14.8,106,114,https://www.basketball-reference.com/players/r/riverau01.html,8.9,0.515,0.574,0.165,2.7,8.3,5.5,7,1,0.4,7.5,14.2,0.2,0.2,0.4,0.054,-1.6,-1.6,-3.2,-0.1,"$2,174,318 ",Rockets,404,-0.1,-2.1,-2.2,6.1,-9.9,-3.8,0.9,-3.5,-2.6,0,8
400,Duncan Robinson,SF,25,MIA,15,10,381,6.7,15.1,0.446,4.9,12.1,0.402,1.9,3,0.625,1.2,1.2,1,0.2,4.4,4.6,1.2,1.1,0.9,1.4,3.9,19.5,114,106,https://www.basketball-reference.com/players/r/robindu01.html,11.5,0.626,0.802,0.083,0.6,9.9,5.5,3.9,1.1,1.8,8.1,15.3,0.5,0.5,0.9,0.119,0.8,-0.7,0,0.2,"$1,416,852 ",Heat,381,1.1,-0.8,0.3,1,-1.5,-0.5,1.1,-1,0.1,0.6,2
401,Jerome Robinson,SG,22,LAC,12,0,128,5.9,15.1,0.39,2.9,7.7,0.381,2.9,7.3,0.4,0.7,0.7,1,0,4,4,4.8,1.5,1.8,3.3,5.1,15.4,94,106,https://www.basketball-reference.com/players/r/robinje01.html,8.3,0.543,0.457,0,0,8.9,4.6,11.2,1.7,4,20.5,16,-0.1,0.2,0.1,0.038,-3.4,1.5,-2,0,"$3,567,720 ",Clippers,128,-2.9,-0.9,-3.8,6,6.6,12.6,-1.6,0.3,-1.3,0.1,8
403,Mitchell Robinson,C,21,NYK,13,6,245,10,13.8,0.725,0,0,0,10,13.8,0.725,4.6,6.4,0.719,7.6,8.2,15.8,1.8,1.6,5.4,2.2,9,24.6,142,104,https://www.basketball-reference.com/players/r/robinmi01.html,29.5,0.738,0,0.418,15.8,19.9,17.7,7,1.7,10.5,9.2,16.4,1.1,0.3,1.4,0.296,3.7,4.7,8.4,0.6,"$1,559,712 ",Knicks,245,2.5,0,2.5,-2.6,-1.4,-4,1.8,-0.2,1.6,0.5,4
404,Rajon Rondo,PG,33,LAL,6,0,128,7.1,18.3,0.388,2.6,7.5,0.35,4.5,10.8,0.414,1.9,2.6,0.714,1.1,6,7.1,12.7,2.2,0,3.7,2.6,18.7,106,104,https://www.basketball-reference.com/players/r/rondora01.html,15.1,0.48,0.408,0.143,2.6,13.6,8.1,36.3,2.2,0,16.1,20.6,0.1,0.2,0.3,0.117,-0.4,-0.7,-1.2,0,"$2,564,753 ",Lakers,128,3.3,-10.7,-7.4,-2,-5.1,-7,2.5,-10.3,-7.7,-0.3,8
405,Derrick Rose,PG,31,DET,11,1,264,13.8,26,0.531,1.5,3.5,0.421,12.4,22.5,0.548,6.5,7.3,0.9,0.7,3.1,3.8,10.2,2,0.9,6.5,2.4,35.6,110,112,https://www.basketball-reference.com/players/r/rosede01.html,23.3,0.61,0.133,0.28,1.8,7.4,4.6,40.7,2,1.6,18.3,32.2,0.5,0.2,0.7,0.126,2.6,-2.7,-0.1,0.1,"$7,317,073 ",Pistons,264,3.9,-3.8,0.1,5.7,0.9,6.6,4.4,-3.1,1.3,0.5,7
406,Terrence Ross,SG,28,ORL,13,0,307,7.8,21.8,0.36,3.5,13.1,0.268,4.3,8.6,0.5,3.5,4,0.88,0.8,5.4,6.2,2.1,2.1,0.5,2.7,3.5,22.7,93,107,https://www.basketball-reference.com/players/r/rosste01.html,10.1,0.483,0.603,0.184,1.6,12.2,6.7,6.8,2.1,0.9,10.4,23.1,-0.3,0.4,0.1,0.017,-2.2,-1.2,-3.4,-0.1,"$12,500,000 ",Magic,307,-1.7,0.3,-1.4,-10.8,3.9,-6.9,-3.2,0.9,-2.4,0.1,8
407,Terry Rozier,PG,25,CHO,17,17,546,9.1,21.4,0.428,3.3,9.2,0.352,5.9,12.1,0.486,4.4,5.2,0.847,1.1,4.6,5.6,6.6,1.8,0.3,4.7,3.5,26,103,114,https://www.basketball-reference.com/players/r/roziete01.html,14.6,0.548,0.432,0.243,2.3,11,6.5,22.3,1.8,0.5,16.5,25.3,0.3,0.2,0.5,0.04,0.2,-2,-1.8,0,"$19,894,737 ",Hornets,546,-0.6,-0.4,-1,-5,-7,-12.1,-1.3,-1.5,-2.8,0,2
408,Ricky Rubio,PG,29,PHO,11,11,339,6.5,16.8,0.385,1.7,4.8,0.343,4.8,12,0.402,4.3,5,0.861,0.8,8,8.8,12.3,2.1,0,3.2,4,18.9,109,106,https://www.basketball-reference.com/players/r/rubiori01.html,15.6,0.497,0.287,0.295,1.9,19,10.3,37.7,2.1,0,14.3,20.1,0.4,0.5,0.9,0.126,0,1,1,0.3,"$16,190,476 ",Suns,339,1.6,3.6,5.2,4.3,3.2,7.5,2.1,3.7,5.8,1.5,7
409,D'Angelo Russell,SG,23,GSW,10,10,315,12.7,28,0.455,4.2,11.8,0.354,8.5,16.2,0.528,6.7,8.8,0.763,0.3,5.1,5.4,10,1.2,0.7,5.1,2.7,36.4,108,117,https://www.basketball-reference.com/players/r/russeda01.html,21.9,0.571,0.422,0.316,0.7,11.8,6.1,39.2,1.2,1.4,13.8,32.9,0.5,0,0.5,0.076,5.2,-3.7,1.5,0.3,"$27,285,000 ",Warriors,315,4.9,-3.1,1.8,-2.1,-6.1,-8.3,4.1,-3.7,0.4,0.5,7
410,Domantas Sabonis,C,23,IND,13,13,444,10.7,21.5,0.497,0.5,1.7,0.313,10.1,19.7,0.514,5.1,6,0.855,5.4,13.5,19,5.1,0.8,1,3.9,5.2,27,112,101,https://www.basketball-reference.com/players/s/sabondo01.html,20.9,0.561,0.081,0.279,12.2,30,21.1,16.3,0.8,1.8,14,24.8,0.8,0.8,1.6,0.177,0.6,2.4,3,0.6,"$3,529,555 ",Pacers,444,-0.4,1.4,1.1,0.6,4.6,5.2,-0.2,2,1.7,1,4
411,JaKarr Sampson,SF,26,IND,9,7,166,6.7,11.9,0.561,0.6,2.9,0.2,6.1,9,0.677,0.6,2,0.286,2,5,7,1.2,1.5,1.7,1.7,6.7,14.6,105,104,https://www.basketball-reference.com/players/s/sampsja02.html,10,0.567,0.244,0.171,4.6,11,7.8,3.3,1.5,3.2,12,12.9,0.1,0.3,0.3,0.096,-2.4,1.9,-0.5,0.1,"$1,737,145 ",Pacers,166,-3.9,2.6,-1.3,1.1,-0.5,0.6,-3.2,2.1,-1.1,0.1,1
412,Admiral Schofield,SF,22,WAS,6,0,52,6.2,8.9,0.7,3.5,6.2,0.571,2.7,2.7,1,3.5,3.5,1,1.8,5.3,7.1,0.9,0,0,0,2.7,19.5,189,120,https://www.basketball-reference.com/players/s/schofad01.html,17.8,0.935,0.7,0.4,4.2,13,8.5,2.4,0,0,0,9.4,0.2,0,0.2,0.191,5.1,-4.5,0.6,0,"$898,310 ",Wizards,52,3.8,-0.1,3.7,-7.7,10.8,3.2,2.1,1.8,3.9,0.2,2
413,Mike Scott,PF,31,PHI,16,0,297,6.1,13.3,0.458,2.9,7.7,0.375,3.2,5.6,0.571,0.8,0.8,1,1.9,7.4,9.3,1.6,0.5,0.2,1.1,4.5,15.9,115,108,https://www.basketball-reference.com/players/s/scottmi01.html,10.2,0.581,0.578,0.06,4.6,17,10.9,4.6,0.5,0.3,7.6,13.1,0.3,0.3,0.7,0.108,-0.5,-1.5,-2.1,0,"$4,767,000 ",76ers,297,0.5,-2.1,-1.6,-2.7,3.8,1.1,0,-1.2,-1.2,0.2,2
414,Thabo Sefolosha,PF,35,HOU,14,0,153,3.3,11,0.297,2.1,6.8,0.304,1.2,4.2,0.286,0,0,0,3,7.4,10.4,4.2,1.8,1.2,1.2,4.5,8.6,101,108,https://www.basketball-reference.com/players/s/sefolth01.html,8.7,0.392,0.622,0,6.7,16.8,11.8,12.2,1.8,2.2,9.8,11,0,0.2,0.2,0.062,-2.9,1.5,-1.3,0,"$2,564,753 ",Rockets,153,-2.8,-0.1,-2.9,0.1,-5.3,-5.2,-2.5,-1,-3.4,-0.1,6
415,Collin Sexton,SG,21,CLE,16,16,484,10.8,24.5,0.439,2.1,6.3,0.333,8.7,18.3,0.475,4.8,6,0.8,1.2,3.8,5,3.3,1.3,0.1,2.9,3.6,28.4,103,115,https://www.basketball-reference.com/players/s/sextoco01.html,14.6,0.523,0.256,0.244,2.6,8.6,5.6,12.2,1.3,0.2,9.6,26.7,0.2,0.1,0.3,0.031,-0.5,-3,-3.5,-0.2,"$4,764,960 ",Cavaliers,484,0.8,-2.6,-1.8,3.4,-5.9,-2.5,1.3,-3.2,-1.9,0.2,2
416,Landry Shamet,SG,22,LAC,10,10,294,4.8,12.3,0.39,3.4,9.3,0.362,1.4,3,0.474,1.6,1.6,1,0,2.4,2.4,2.7,0.6,0.2,1.9,5,14.6,106,111,https://www.basketball-reference.com/players/s/shamela01.html,6.3,0.559,0.753,0.13,0,5.1,2.6,7.8,0.6,0.3,12.8,13.1,0.1,0.2,0.4,0.058,-0.5,-1.4,-1.9,0,"$1,995,120 ",Clippers,294,-2.1,-0.5,-2.6,-1.6,-2.1,-3.7,-2.1,-0.9,-3,0,8
417,Iman Shumpert,SG,29,BRK,5,0,94,4.4,12.3,0.36,2,8.4,0.235,2.5,3.9,0.625,1.5,2.5,0.6,1.5,4.9,6.4,1,2,0,3.4,4.4,12.3,80,110,https://www.basketball-reference.com/players/s/shumpim01.html,3.3,0.411,0.652,0.13,4.3,13.8,9.1,1.8,1.9,0,17.1,16.2,-0.2,0.1,-0.1,-0.067,-6,-2,-7.9,-0.1,"$2,031,677 ",Nets,94,-3.5,-0.3,-3.8,-10.5,2,-8.4,-4.9,0.1,-4.8,-0.1,3
418,Pascal Siakam,PF,25,TOR,15,15,554,12.3,25.9,0.474,3,7.9,0.376,9.3,18,0.517,5.4,6.5,0.829,2,8.8,10.8,5.2,1,0.9,3.7,4.2,32.8,110,104,https://www.basketball-reference.com/players/s/siakapa01.html,20.4,0.572,0.306,0.25,4.8,17.8,11.7,18.9,1,1.7,11.5,29.4,1,0.9,1.8,0.16,2,0.9,2.9,0.7,"$2,351,839 ",Raptors,554,2.2,-0.3,1.9,8.4,6.1,14.5,3.2,0.7,3.9,1.9,5
419,Ben Simmons,PG,23,PHI,14,14,465,8,14.4,0.553,0.1,0.1,1,7.9,14.3,0.55,2.7,4.7,0.565,1.9,7.4,9.3,11.4,3.3,0.9,5,4.9,18.8,108,101,https://www.basketball-reference.com/players/s/simmobe01.html,18,0.567,0.007,0.326,4.6,17,10.9,34.1,3.3,1.6,23.3,19.1,0.5,0.9,1.4,0.147,0,3.2,3.2,0.6,"$8,113,930 ",76ers,465,-0.9,2.2,1.4,4.1,0.7,4.8,-0.1,2.1,2,1.1,7
420,Anfernee Simons,SG,20,POR,17,1,366,8.7,19.9,0.436,3.6,9.7,0.368,5.1,10.2,0.5,3.1,4.1,0.75,0.5,3.4,3.9,3.2,1.3,0.3,1.9,4.1,23.9,109,115,https://www.basketball-reference.com/players/s/simonan01.html,13.5,0.553,0.487,0.205,1.1,7.5,4.3,10.3,1.3,0.4,8.1,21,0.4,0.1,0.5,0.065,0.4,-2.9,-2.6,-0.1,"$2,149,560 ",Trail Blazers,366,0.2,-2.2,-2,-6.7,-3.5,-10.2,-0.9,-2.5,-3.4,-0.1,2
421,Marcus Smart,SG,25,BOS,15,10,482,6.3,16.7,0.381,3.7,10.6,0.346,2.7,6.1,0.443,1.9,2.2,0.864,1.2,4.1,5.3,7.4,2,0.7,1.6,3.3,18.3,113,105,https://www.basketball-reference.com/players/s/smartma01.html,14.4,0.518,0.637,0.131,2.5,8.5,5.6,22.4,2,1.3,8.3,17.1,0.7,0.7,1.3,0.134,1.7,0.7,2.4,0.5,"$12,553,471 ",Celtics,482,2,4,6,-6.3,5.3,-1,0.7,4.3,5.1,1.9,7
422,Ish Smith,PG,31,WAS,14,5,342,6.2,14.6,0.426,1.3,4,0.333,4.9,10.5,0.462,0.7,1.3,0.5,1.3,4.9,6.2,7.8,1.2,0.9,2.2,3.1,14.4,106,117,https://www.basketball-reference.com/players/s/smithis01.html,11.8,0.484,0.263,0.101,3.3,10.7,7,21.2,1.2,1.8,11.9,15.1,0.3,0,0.3,0.038,-1.1,-1.1,-2.1,0,"$5,853,659 ",Wizards,342,-1.2,-2.8,-4,3.5,4.5,8,-0.6,-1.6,-2.2,0.1,8
423,Tony Snell,SF,28,DET,13,13,352,5.9,12.7,0.462,4.1,9,0.455,1.8,3.7,0.481,0.5,0.5,1,0.7,1.9,2.6,3.1,1,0.3,0.8,3.1,16.4,126,116,https://www.basketball-reference.com/players/s/snellto01.html,11.2,0.633,0.71,0.043,1.7,4.6,3.1,9.5,1,0.5,6,12.4,0.6,0.1,0.7,0.094,2,-2.6,-0.5,0.1,"$11,392,857 ",Pistons,352,2,-3,-1.1,-0.6,-5.5,-6.1,1.6,-3.5,-1.9,0.2,2
424,Omari Spellman,PF,22,GSW,16,0,281,7,16.6,0.424,2,5.2,0.387,5,11.4,0.441,3.9,5,0.767,6.7,8.1,14.8,3,1.7,1.3,3.7,3.7,20,106,114,https://www.basketball-reference.com/players/s/spellom01.html,16.2,0.53,0.313,0.303,14.9,18.6,16.7,9.7,1.7,2.5,16.4,20,0.2,0.1,0.3,0.055,-0.5,-1,-1.4,0,"$1,897,800 ",Warriors,281,-1.1,-0.1,-1.2,-3.5,1.2,-2.3,-1.5,0.2,-1.3,0.2,9
426,Edmond Sumner,PG,24,IND,3,2,67,6.5,13,0.5,0,2.2,0,6.5,10.8,0.6,2.2,3.6,0.6,0.7,1.4,2.2,4.3,3.6,0.7,0.7,6.5,15.2,113,102,https://www.basketball-reference.com/players/s/sumneed01.html,12.4,0.52,0.167,0.278,1.6,3.2,2.4,12.2,3.6,1.3,4.7,13.6,0.1,0.1,0.2,0.138,-1.4,1.4,0.1,0,"$2,000,000 ",Pacers,67,-1.2,3.4,2.2,-0.3,-14.5,-14.8,-1.1,0.5,-0.5,0.1,1
428,Jayson Tatum,PF,21,BOS,15,15,513,10.5,25.7,0.409,3.4,9,0.371,7.2,16.7,0.43,4.3,5.4,0.793,2,7.8,9.8,3.4,2,0.9,2.6,3.3,28.7,102,102,https://www.basketball-reference.com/players/t/tatumja01.html,16.7,0.511,0.351,0.21,4.2,16.4,10.3,11.9,2,1.8,8.5,27.3,0.2,0.9,1.1,0.099,-0.5,0.8,0.2,0.3,"$7,830,000 ",Celtics,513,0.8,0.3,1.1,2,5.6,7.5,1,1.1,2.2,1.3,5
429,Jeff Teague,PG,31,MIN,12,11,345,6.6,15.3,0.435,1.1,4,0.267,5.6,11.3,0.494,6.6,8.1,0.82,0.8,3.5,4.3,12.2,1.5,0.5,3.6,3.5,21,117,112,https://www.basketball-reference.com/players/t/teaguje01.html,17.6,0.557,0.261,0.53,1.8,7.6,4.7,38.4,1.5,0.9,16,19.8,0.8,0.2,1,0.14,0.6,-2.5,-1.9,0,"$19,000,000 ",Timberwolves,345,2.8,-5.8,-3,5.8,-4.3,1.5,3.5,-5.9,-2.4,0.1,2
430,Garrett Temple,SG,33,BRK,16,7,399,5.3,13.8,0.387,3.4,9.9,0.341,2,3.9,0.5,2,2.5,0.773,0.9,4.2,5.1,2.9,2,1,1.4,3.5,16,109,109,https://www.basketball-reference.com/players/t/templga01.html,11.2,0.528,0.7,0.191,2.3,10.1,6.3,9.5,1.9,2,9.1,14.8,0.3,0.3,0.6,0.079,-0.4,0.3,-0.1,0.2,"$4,767,000 ",Nets,399,0.4,-1.7,-1.2,-2,2.6,0.7,0,-1,-1,0.4,8
431,Daniel Theis,C,27,BOS,13,12,295,5.3,11.5,0.465,0.3,1.9,0.167,5,9.6,0.525,2.8,4.1,0.68,3.6,12,15.6,2.8,1.3,3.4,1.6,7.3,13.8,110,98,https://www.basketball-reference.com/players/t/theisda01.html,14,0.518,0.169,0.352,7.6,25.2,16.4,8.1,1.3,6.4,10.9,13.3,0.3,0.7,0.9,0.152,-3,5.3,2.3,0.3,"$5,000,000 ",Celtics,295,-3.7,3.6,0,-2.4,8.1,5.8,-3.7,4.5,0.8,0.5,4
432,Isaiah Thomas,PG,30,WAS,12,9,296,9.2,20.7,0.444,3.9,9.2,0.424,5.3,11.5,0.459,1.6,1.7,0.909,0.2,2.8,3,10.4,0.8,0.5,3.9,3.4,23.9,109,120,https://www.basketball-reference.com/players/t/thomais02.html,14.9,0.538,0.426,0.082,0.4,6.6,3.4,32.3,0.9,0.6,14.8,22.7,0.4,-0.1,0.3,0.046,0.5,-5.2,-4.6,-0.2,"$2,320,044 ",Wizards,296,1.4,-7.2,-5.8,4.2,-10.6,-6.4,1.9,-8,-6.2,-0.5,2
434,Matt Thomas,SG,25,TOR,12,0,136,6.9,12.8,0.541,4.9,9,0.538,2.1,3.8,0.545,1,1.7,0.6,0.3,4.2,4.5,1.4,1.4,0,1.4,4.2,19.8,126,107,https://www.basketball-reference.com/players/t/thomama02.html,13.1,0.727,0.703,0.135,0.8,8.4,4.9,4.2,1.4,0,9.3,13.5,0.3,0.2,0.4,0.145,2,-1,0.9,0.1,"$898,310 ",Raptors,136,1.3,-1.2,0.1,0.3,0.4,0.6,1.2,-1.1,0.1,0.2,2
435,Tristan Thompson,C,28,CLE,15,15,473,9.6,18.3,0.525,0.3,0.7,0.429,9.3,17.6,0.529,3.3,4.9,0.667,6.2,8.9,15.1,3.6,1.3,2,2.3,4,22.8,117,110,https://www.basketball-reference.com/players/t/thomptr01.html,21.2,0.557,0.039,0.268,13.6,20.2,16.8,12.6,1.3,3.6,10.3,20.2,1,0.4,1.4,0.143,1.6,1.9,3.4,0.7,"$18,539,130 ",Cavaliers,473,-0.4,3.7,3.3,3.4,1.8,5.2,0.2,3.7,3.9,1.6,4
436,Matisse Thybulle,SG,22,PHI,15,2,221,3.7,11,0.333,1.9,5.6,0.346,1.7,5.4,0.32,1.9,3,0.643,0.9,2.4,3.2,3.2,4.3,2.4,3.9,7.5,11.2,81,98,https://www.basketball-reference.com/players/t/thybuma01.html,6.7,0.455,0.51,0.275,2.1,5.5,3.8,8.6,4.3,4.2,23.9,14.3,-0.4,0.5,0.1,0.03,-4.1,3.9,-0.3,0.1,"$2,582,160 ",76ers,221,-4.3,6.5,2.2,-9.5,-0.8,-10.3,-5.4,5.6,0.2,0.3,8
437,Anthony Tolliver,PF,34,POR,14,7,258,2.9,9.8,0.296,2.3,7.8,0.302,0.5,2,0.273,1.6,2,0.818,1.6,7.2,8.8,2,0.5,1.1,1.8,3.1,9.8,94,114,https://www.basketball-reference.com/players/t/tollian01.html,6.1,0.459,0.796,0.204,3.5,15.7,9.6,5.4,0.5,1.9,14.5,11.1,-0.1,0.1,0,0.002,-3.1,-0.3,-3.4,-0.1,"$2,564,753 ",Trail Blazers,258,-3.6,-1.6,-5.2,-4.9,-4.4,-9.3,-4,-2.1,-6.1,-0.4,6
438,Karl-Anthony Towns,C,24,MIN,14,14,465,12.4,24.1,0.516,5.6,12.5,0.449,6.8,11.5,0.59,5.9,7.7,0.769,3.6,13.6,17.2,5,1.7,2.1,4.3,4.4,36.4,122,103,https://www.basketball-reference.com/players/t/townska01.html,29,0.663,0.52,0.32,7.9,30.1,19,19.3,1.7,3.6,13.7,28.1,1.7,0.8,2.5,0.255,7.2,2.3,9.5,1.3,"$27,250,000 ",Timberwolves,465,4.9,4.5,9.4,3.7,-2,1.6,5,3.6,8.6,2.7,0
